wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_4,a_Ci_2_Deff_6,a_Ci_2_Deff_8,a_Ci_5_Deff_2,a_Ci_5_Deff_4,a_Ci_5_Deff_6,a_Ci_5_Deff_8,a_Ci_8_Deff_2,a_Ci_8_Deff_4,a_Ci_8_Deff_6,a_Ci_8_Deff_8,b_Ci_2_Deff_2,b_Ci_2_Deff_4,b_Ci_2_Deff_6,b_Ci_2_Deff_8,b_Ci_5_Deff_2,b_Ci_5_Deff_4,b_Ci_5_Deff_6,b_Ci_5_Deff_8,b_Ci_8_Deff_2,b_Ci_8_Deff_4,b_Ci_8_Deff_6,b_Ci_8_Deff_8,bb_Ci_2_Deff_2,bb_Ci_2_Deff_4,bb_Ci_2_Deff_6,bb_Ci_2_Deff_8,bb_Ci_5_Deff_2,bb_Ci_5_Deff_4,bb_Ci_5_Deff_6,bb_Ci_5_Deff_8,bb_Ci_8_Deff_2,bb_Ci_8_Deff_4,bb_Ci_8_Deff_6,bb_Ci_8_Deff_8
4.000000000000000222e-01,8.790497250383388916e-02,7.111403419996947806e-02,5.967871772845242950e-02,5.157691322241372833e-02,6.448783324363879799e-02,4.603232665452870742e-02,3.571738343520865222e-02,2.915318258352914832e-02,5.199521135566204100e-02,3.442459735289245260e-02,2.559289875150205784e-02,2.030895105393362016e-02,3.702522632617711307e-01,2.990909285362324810e-01,2.115490032334057247e-01,1.550357050609281195e-01,1.247010097213240853e-01,9.663502808562825230e-02,6.848029810649525206e-02,5.071029758880659516e-02,7.058707602613197019e-02,5.303440483839327868e-02,3.788149248949310155e-02,2.845795422239526251e-02,2.217568434041033206e-03,1.046531952100024539e-03,6.217163385603335446e-04,4.209191878275775063e-04,8.426699390436685538e-04,3.678014314644364557e-04,2.119806239626566486e-04,1.423843000456706119e-04,5.884136870851840824e-04,2.517476361246491316e-04,1.450062306545374217e-04,9.807941342719042523e-05
4.010000000000000231e-01,8.814490581110046019e-02,7.127523369391941532e-02,5.979529555234949778e-02,5.166524567725580552e-02,6.465877410617915100e-02,4.612159905359347611e-02,3.577200415286553581e-02,2.918963072212014953e-02,5.211506611144216261e-02,3.447661590201016313e-02,2.562096083821520376e-02,2.032594729152701826e-02,3.720366420569785615e-01,2.995952833693128481e-01,2.115944827332096045e-01,1.549750232949346773e-01,1.252813763710557415e-01,9.679133208266310628e-02,6.849508553114760923e-02,5.069216089952431614e-02,7.090941916308303450e-02,5.312832111019270831e-02,3.790078037561124547e-02,2.845756237368571653e-02,2.214751048362539713e-03,1.045141903564851061e-03,6.207000076107464142e-04,4.201874283518223629e-04,8.429361898344653889e-04,3.681716964372583768e-04,2.121662455090012728e-04,1.425024293120932795e-04,5.899722922723174817e-04,2.527118228034837396e-04,1.455741830461141674e-04,9.846860809673407941e-05
4.020000000000000240e-01,8.845251243678059483e-02,7.148453400818882697e-02,5.994745859937047894e-02,5.178094155710610824e-02,6.487175500357020286e-02,4.623387731731282146e-02,3.584079117895082323e-02,2.923551601441104486e-02,5.226316213435398816e-02,3.454148191197305151e-02,2.565599811967047422e-02,2.034716057355895336e-02,3.706632090360080789e-01,2.989638960171452919e-01,2.113068440477340049e-01,1.548153573152853124e-01,1.247698908728983869e-01,9.651149739702147290e-02,6.835093344505840940e-02,5.060960554815031875e-02,7.064615085133618688e-02,5.297609334423437899e-02,3.782016956137771585e-02,2.841147397443553185e-02,2.215457460505574749e-03,1.045070090170641727e-03,6.204354913910577456e-04,4.199492602342394586e-04,8.447465049127983721e-04,3.691157509274219616e-04,2.126479259302277262e-04,1.428019379584139176e-04,5.926022326698883631e-04,2.540857923075779214e-04,1.463520160798839902e-04,9.898767486913761691e-05
4.030000000000000249e-01,8.882277798450427531e-02,7.173521632966828321e-02,6.012961040890107967e-02,5.191953551190767180e-02,6.512129822218616637e-02,4.636476002229403259e-02,3.592075221188174849e-02,2.928876296402269097e-02,5.243520948541081916e-02,3.461653014865365835e-02,2.569641580623887450e-02,2.037157899250941623e-02,3.702586820254829547e-01,2.986322899232359829e-01,2.110745870587674711e-01,1.546485046307336797e-01,1.245838729102601433e-01,9.634108093701010400e-02,6.823603680458406595e-02,5.053287384279762928e-02,7.055920373488989983e-02,5.288713239952188422e-02,3.776070901076106906e-02,2.837286534951499045e-02,2.215003044815933627e-03,1.044474666942576567e-03,6.198660184198657346e-04,4.194911160197163213e-04,8.462630809679300451e-04,3.699390683959947698e-04,2.130842316752254938e-04,1.430822747244017527e-04,5.952933524092022914e-04,2.554890298141197259e-04,1.471638326398782019e-04,9.953883155623071517e-05
4.040000000000000258e-01,8.923749294973937207e-02,7.201633379663530121e-02,6.033406175090488821e-02,5.207519215685196823e-02,6.539762957568838464e-02,4.650969863875110966e-02,3.600918280967863039e-02,2.934757340322902142e-02,5.262495477085199491e-02,3.469928206221380845e-02,2.574090055963294127e-02,2.039840567218377532e-02,3.687930509798406087e-01,2.979047709875745076e-01,2.107168240365031586e-01,1.544377273948393248e-01,1.240306321382337457e-01,9.601853881356862963e-02,6.806284868234582786e-02,5.043093636160808635e-02,7.027673080126085881e-02,5.271329721101340043e-02,3.766561474793644199e-02,2.831738704280482161e-02,2.215596220416359442e-03,1.044247939798952736e-03,6.194887037807301610e-04,4.191596836359520501e-04,8.482332620347310392e-04,3.709610687598560459e-04,2.136396387006749009e-04,1.434429076500585195e-04,5.983387188322292173e-04,2.570559872568812382e-04,1.480775348291126501e-04,1.001612886786051550e-04
4.050000000000000266e-01,8.968668277653429888e-02,7.231974738792240620e-02,6.055462945741163505e-02,5.224312429029676075e-02,6.569362625743392636e-02,4.666435381721383002e-02,3.610333562163550725e-02,2.941009236612372735e-02,5.282739271499864442e-02,3.478723010229112927e-02,2.578804618830807943e-02,2.042677346693292165e-02,3.679105738136700943e-01,2.973593808108054293e-01,2.103940454540226823e-01,1.542240063496268243e-01,1.236745916211583890e-01,9.576359744203928603e-02,6.790858057601315001e-02,5.033344265564329567e-02,7.010143907633598070e-02,5.257879917888214766e-02,3.758414941324516451e-02,2.826702610308793814e-02,2.215523078296165183e-03,1.043588331295827818e-03,6.187366714560549753e-04,4.185444711446434504e-04,8.499359368983308485e-04,3.718782173290715340e-04,2.141400604429029135e-04,1.437732325908235075e-04,6.012915208625030849e-04,2.586007298073742531e-04,1.489941972025576726e-04,1.007952785418417453e-04
4.060000000000000275e-01,9.015483147895975158e-02,7.263576915214159380e-02,6.078435367141102330e-02,5.241803753009594002e-02,6.600043027610262569e-02,4.682445003207848233e-02,3.620067802465520845e-02,2.947466024731376644e-02,5.303680055420689765e-02,3.487805212385170633e-02,2.583664083236772435e-02,2.045596421442441235e-02,3.664037940780480174e-01,2.965835653692847074e-01,2.100007578707217271e-01,1.539875446317763852e-01,1.231053517041298812e-01,9.542171533697833830e-02,6.772181347484783343e-02,5.022239943810587193e-02,6.981343888362089023e-02,5.239629023957236703e-02,3.748291143136119052e-02,2.820750389347621498e-02,2.216138842470851637e-03,1.043163152413054563e-03,6.179226021313746244e-04,4.177825591383592082e-04,8.518051997420913232e-04,3.728746992954933459e-04,2.146565658395585031e-04,1.440986560299298714e-04,6.042904994928472058e-04,2.601765923696337432e-04,1.499232659059416010e-04,1.014355137219261440e-04
4.069999999999999729e-01,9.063162352025999624e-02,7.295662127784707796e-02,6.101717351161628500e-02,5.259512369294255807e-02,6.631089924930178015e-02,4.698581605560743502e-02,3.629856894488805996e-02,2.953949356367244899e-02,5.324823668555049572e-02,3.496937461415244863e-02,2.588536845349123650e-02,2.048517420849049406e-02,3.653272630833649948e-01,2.959533108763494624e-01,2.096442030807264545e-01,1.537577203327366027e-01,1.226841754157834419e-01,9.513558342165039095e-02,6.755370101783565728e-02,5.011799381698899686e-02,6.960579337717291704e-02,5.224600542850384166e-02,3.739418389021495481e-02,2.815344469936393104e-02,2.216408842542638962e-03,1.042929800080240939e-03,6.172597187842695111e-04,4.171102305850522417e-04,8.534212727723857741e-04,3.738424786359433689e-04,2.151626295639142632e-04,1.444120796271672585e-04,6.070747383460842325e-04,2.616964576606459897e-04,1.508248431101248785e-04,1.020571008637066848e-04
4.079999999999999738e-01,9.110295116987016106e-02,7.327383184939961769e-02,6.124709965377647669e-02,5.276981986134987590e-02,6.661691490751153744e-02,4.714449683064696195e-02,3.639461886618436393e-02,2.960299433547319836e-02,5.345643619869837326e-02,3.505902714179651852e-02,2.593306298220395684e-02,2.051369053741338225e-02,3.638249839715166356e-01,2.951744825790043047e-01,2.092488695768519869e-01,1.535204028249814168e-01,1.221213055918179691e-01,9.479598943043053560e-02,6.736801153121306507e-02,5.000768599109457757e-02,6.932351734933304976e-02,5.206638214719775531e-02,3.729444663611643923e-02,2.809482817383112188e-02,2.217139769255273979e-03,1.043515887834721174e-03,6.173452368311800392e-04,4.170428133989967129e-04,8.550603926172786837e-04,3.749733559396970580e-04,2.158192021685726423e-04,1.448468466529545745e-04,6.097259405463249403e-04,2.632383628168151685e-04,1.517651566750516162e-04,1.027140085039567004e-04
4.089999999999999747e-01,9.155822403279428867e-02,7.358006157724206187e-02,6.146891102774626470e-02,5.293820991906852957e-02,6.691172442294258949e-02,4.729685092804673807e-02,3.648665154125560472e-02,2.966375276510799935e-02,5.365676117605504281e-02,3.514490948107423796e-02,2.597860598813251515e-02,2.054085096033821112e-02,3.626761509413186646e-01,2.945274829122413451e-01,2.088952557456020820e-01,1.532977245864056703e-01,1.216828811956428974e-01,9.450919602844350120e-02,6.720324848892988978e-02,4.990683419408561278e-02,6.910822331225485726e-02,5.191684440369900844e-02,3.720783716775281219e-02,2.804268413666747423e-02,2.217317180101559867e-03,1.044238184674257724e-03,6.176529387172234207e-04,4.171702421376762481e-04,8.563870943456494689e-04,3.761021982971870050e-04,2.165272007936298198e-04,1.453345934436590155e-04,6.120648217174620319e-04,2.647345864150851954e-04,1.527140488386965437e-04,1.033891148858862952e-04
