wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_2_Deff_48,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_5_Deff_48,a_Ci_8_Deff_2,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,a_Ci_8_Deff_48,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_2_Deff_48,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_5_Deff_48,b_Ci_8_Deff_2,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,b_Ci_8_Deff_48,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_3_Deff_48,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_5_Deff_48,bb_Ci_8_Deff_2,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24,bb_Ci_8_Deff_48
4.000000000000000222e-01,1.182877025093182488e-01,7.350635541900912839e-02,4.707620837067549857e-02,2.770276624057503578e-02,1.777252688947678419e-02,8.144447853875162735e-02,4.052457596744273721e-02,2.277237822228930786e-02,1.215518823642342157e-02,7.395640437525408464e-03,6.265990728639199425e-02,2.777283238387624753e-02,1.481802079969525218e-02,7.678608588432134577e-03,4.612699203915273174e-03,3.446436521642300410e-01,1.933492642020008256e-01,8.802679705884999817e-02,3.897889731561775262e-02,2.145399576243680814e-02,1.138887879503903550e-01,6.126532147890210306e-02,2.970085766195856153e-02,1.417178628499987832e-02,8.204230925494031962e-03,6.624052457759059542e-02,3.450089233152763696e-02,1.745403340475900830e-02,8.652118608641760564e-03,5.104928748660801652e-03,2.107724581377163914e-03,5.553601750390430155e-04,2.127575445437879058e-04,8.509767437619521516e-05,4.397474484988284516e-05,9.262190656597630439e-04,2.284163270924592410e-04,9.032037379174582224e-05,3.938930123838488880e-05,2.201679520792796264e-05,7.493250471881919518e-04,1.863982950112089566e-04,7.707644605991035441e-05,3.522547004589693566e-05,2.022781394784356137e-05
4.010000000000000231e-01,1.188980582863731206e-01,7.375837899918089025e-02,4.718223529373044567e-02,2.773716513510787740e-02,1.778362835402902409e-02,8.177761759353922855e-02,4.060558227367924711e-02,2.279492346537743616e-02,1.215960096627838674e-02,7.396157002641455189e-03,6.286092703630997980e-02,2.780588581805665954e-02,1.482386050464459121e-02,7.678402422336154734e-03,4.611774390654330841e-03,3.460501048794788481e-01,1.932211473663164314e-01,8.789702286523301544e-02,3.893583376801748597e-02,2.144086624580046618e-02,1.143309183078772134e-01,6.124052310184481540e-02,2.967423449065269628e-02,1.416482219500188669e-02,8.203005899730110920e-03,6.651179807044206582e-02,3.451125002389857088e-02,1.745074197323069620e-02,8.652080124532614616e-03,5.105782586949823496e-03,2.105276972020726604e-03,5.544752556096279933e-04,2.124042177902428388e-04,8.502360281104981779e-05,4.397896898971446751e-05,9.296409478195691647e-04,2.295203429631692961e-04,9.079893427960200006e-05,3.962899468851106979e-05,2.216298930958699584e-05,7.552742692067895705e-04,1.882861154790686558e-04,7.791261662003428430e-05,3.562927421732724475e-05,2.046635617626958994e-05
4.020000000000000240e-01,1.194740354587379150e-01,7.399758244739482183e-02,4.728265108915301329e-02,2.776964801245555142e-02,1.779408721265039045e-02,8.209330851406369811e-02,4.068248225515951055e-02,2.281623976887581229e-02,1.216373407707967494e-02,7.396615399526773257e-03,6.305162325668593748e-02,2.783713950010954091e-02,1.482930543649484470e-02,7.678151122324556113e-03,4.610862241447250508e-03,3.445538940211186896e-01,1.927947430365233028e-01,8.777588623606759344e-02,3.890258015342156622e-02,2.143085472295182953e-02,1.138560514364480719e-01,6.107931653153354790e-02,2.963443377946599344e-02,1.415761387998261400e-02,8.201989764313280876e-03,6.632307410413647297e-02,3.444184315541625602e-02,1.743523979352662803e-02,8.650529024501999939e-03,5.106387247335696621e-03,2.106786778184444216e-03,5.545297183934595232e-04,2.123597006193931941e-04,8.503230622411169610e-05,4.400665999851314267e-05,9.342628236608251395e-04,2.308404603802205783e-04,9.132733231678022878e-05,3.987701650356541207e-05,2.230971752358582765e-05,7.617371814254125231e-04,1.902674347373126227e-04,7.876162539597110783e-05,3.603124436663360529e-05,2.070191184211810553e-05
4.030000000000000249e-01,1.200288892152256426e-01,7.422643077808635526e-02,4.737841492193717308e-02,2.780055425385755119e-02,1.780402179989715519e-02,8.239659372337199139e-02,4.075574416977233855e-02,2.283643054966229616e-02,1.216760765289891244e-02,7.397017858266153115e-03,6.323457893907345750e-02,2.786678046967608346e-02,1.483437457805704754e-02,7.677850135308313118e-03,4.609957051397045938e-03,3.440440102216995588e-01,1.924857803534464618e-01,8.765967793433432353e-02,3.886855859340190844e-02,2.142061441100540434e-02,1.136954581588042745e-01,6.097090966686456032e-02,2.960147250842909764e-02,1.415105570123958295e-02,8.201036517052725378e-03,6.629028023300224948e-02,3.440236956021867909e-02,1.742485330517293610e-02,8.649683342305734129e-03,5.107100505921660302e-03,2.107378893547539375e-03,5.544845136609760031e-04,2.122880529424649035e-04,8.502994110690478315e-05,4.402997345429755240e-05,9.385179697798774279e-04,2.321054995641108371e-04,9.184480880563079721e-05,4.012148282453350525e-05,2.245449569862287772e-05,7.679962461623442626e-04,1.922158610328027033e-04,7.960035251367367096e-05,3.642829763742393454e-05,2.093444100256680070e-05
4.040000000000000258e-01,1.205629613557110402e-01,7.444674651007177069e-02,4.747038554805860233e-02,2.783016263817209707e-02,1.781352082894210875e-02,8.268897550870414614e-02,4.082617440355813809e-02,2.285574344700070509e-02,1.217127574235937239e-02,7.397374833115153217e-03,6.341115732307484043e-02,2.789520877341468419e-02,1.483915898111436149e-02,7.677510700516417680e-03,4.609056817249487965e-03,3.425866274714841619e-01,1.920828424553830405e-01,8.754819098135344091e-02,3.883842896926915228e-02,2.141162761206814868e-02,1.132384025891009088e-01,6.081983158718218263e-02,2.956477437236785383e-02,1.414455238244385384e-02,8.200184667149564011e-03,6.610900123583640653e-02,3.433791720354037458e-02,1.741074359481130374e-02,8.648388027487886875e-03,5.107736897242154579e-03,2.109185839508545546e-03,5.547936270542999085e-04,2.123431711357909324e-04,8.506350488366614705e-05,4.406383736665122610e-05,9.429801933191461196e-04,2.334456589645819420e-04,9.238719892263808141e-05,4.037102967530314588e-05,2.259986542730804500e-05,7.742051037602448943e-04,1.941851577066641189e-04,8.044596818614688889e-05,3.682535337172467075e-05,2.116579415492755406e-05
4.050000000000000266e-01,1.210838214950231140e-01,7.466066359903558713e-02,4.755947091500228874e-02,2.785877727347214200e-02,1.782268459881359082e-02,8.297366352064426687e-02,4.089430016313673477e-02,2.287432149075931120e-02,1.217476658741499865e-02,7.397690011937557014e-03,6.358310854585855210e-02,2.792266499769658489e-02,1.484370402051210860e-02,7.677134026140088746e-03,4.608157023640996157e-03,3.417200660855804761e-01,1.917504341143574098e-01,8.743972636794955511e-02,3.880787368244464214e-02,2.140251939928214733e-02,1.129697695672924745e-01,6.070070423901569034e-02,2.953230448668949654e-02,1.413847657380152417e-02,8.199382942140887726e-03,6.602104683620949044e-02,3.429151084930769089e-02,1.739975424477076607e-02,8.647533152641190268e-03,5.108444969803505910e-03,2.110357675194203270e-03,5.549141411002075745e-04,2.123328255947694689e-04,8.508263804409400919e-05,4.409409580766415846e-05,9.470161322328042022e-04,2.347203515234280713e-04,9.291934028341256816e-05,4.061939638313525036e-05,2.274485565254822278e-05,7.800226017332022267e-04,1.960967962553289933e-04,8.128230682313227525e-05,3.722072194116012560e-05,2.139635604697817889e-05
4.060000000000000275e-01,1.215932394926011462e-01,7.486987401529929254e-02,4.764649804321083315e-02,2.788667781182094241e-02,1.783160239274278122e-02,8.325227967432261011e-02,4.096081057309372553e-02,2.289239139776308787e-02,1.217813228610829974e-02,7.397973556559944361e-03,6.375168089715059494e-02,2.794949757036474525e-02,1.484809973237178823e-02,7.676733453441934862e-03,4.607256434463393759e-03,3.402896672654189270e-01,1.913602760801253744e-01,8.733358468443153111e-02,3.877953990528917871e-02,2.139413721327427728e-02,1.125262831985712197e-01,6.055591732309496822e-02,2.949748190938876122e-02,1.413241029132377737e-02,8.198640156737426951e-03,6.584604736599276864e-02,3.423026135441119278e-02,1.738651375700391369e-02,8.646405077177270887e-03,5.109109463121768065e-03,2.112172631945462373e-03,5.550891012526265470e-04,2.122662264243405843e-04,8.508053000570530398e-05,4.411908199425364029e-05,9.509571001918676022e-04,2.359697124176622879e-04,9.343613641266831590e-05,4.086364101902306408e-05,2.288893429441332797e-05,7.855083773963210912e-04,1.979489016047885589e-04,8.210219586732810169e-05,3.761270502299764271e-05,2.162625604685176697e-05
4.069999999999999729e-01,1.220974291469136275e-01,7.507586751184838758e-02,4.773199747216300137e-02,2.791404327587787559e-02,1.784033631562022965e-02,8.352734850816158352e-02,4.102607929187983976e-02,2.291004801226493096e-02,1.218139183570268388e-02,7.398227381631008320e-03,6.391814227535085047e-02,2.797584665754417055e-02,1.485236899896059948e-02,7.676307191420013790e-03,4.606350169071246094e-03,3.392767646994063191e-01,1.910188194795036376e-01,8.722900744200118295e-02,3.875071505314867104e-02,2.138560867257534998e-02,1.122159962875454858e-01,6.043337581761151073e-02,2.946551574624641304e-02,1.412661621731242656e-02,8.197929384014321710e-03,6.573725716116228524e-02,3.418165220337436583e-02,1.737544657224326244e-02,8.645588976561114150e-03,5.109830898098475897e-03,2.113523449997694020e-03,5.553461125645563819e-04,2.121996948621096568e-04,8.506662638396345782e-05,4.413810078492237611e-05,9.544791453933391262e-04,2.371549927723450176e-04,9.392550189697884461e-05,4.109891308049701318e-05,2.303055059642483544e-05,7.905210157758225725e-04,1.997104685134969842e-04,8.289511921095635803e-05,3.799868039091806968e-05,2.185524906769115071e-05
4.079999999999999738e-01,1.225988356626745435e-01,7.528026942436313873e-02,4.781661938667365608e-02,2.794106928167978260e-02,1.784894604461441381e-02,8.380042812322943679e-02,4.109057029221208773e-02,2.292738660713650872e-02,1.218455236264739949e-02,7.398447622197186838e-03,6.408350158262800245e-02,2.800188529034551566e-02,1.485652369260399494e-02,7.675845261115223778e-03,4.605430182612073667e-03,3.378604502977379243e-01,1.906326757315825182e-01,8.712503943865997080e-02,3.872322592199014396e-02,2.137752861883399080e-02,1.117817169205593264e-01,6.029174874567095471e-02,2.943163747404397429e-02,1.412079515149778849e-02,8.197260918934964197e-03,6.556756233334105899e-02,3.412232898995651298e-02,1.736272781234699317e-02,8.644581062147577155e-03,5.110530464760070987e-03,2.115197877565917154e-03,5.561765884884221868e-04,2.124196686239553154e-04,8.514340502817117982e-05,4.418470672232701089e-05,9.578268407580896142e-04,2.384111724804817249e-04,9.445675172924908498e-05,4.134920421692350273e-05,2.317766156529512856e-05,7.951351153833531365e-04,2.014467541282290565e-04,8.369217853838515058e-05,3.838921714772604407e-05,2.208713707204879720e-05
4.089999999999999747e-01,1.231031748418118799e-01,7.548524767712583294e-02,4.790134834026485433e-02,2.796808042587711762e-02,1.785753391762023856e-02,8.407373711042315234e-02,4.115469159208721278e-02,2.294452885001114356e-02,1.218764098163930415e-02,7.398638302541506520e-03,6.424870900926474282e-02,2.802767235222110992e-02,1.486055774704442972e-02,7.675337770152099170e-03,4.604489233068163531e-03,3.367627349029819195e-01,1.902799720964306052e-01,8.702050057127905247e-02,3.869484056043760722e-02,2.136918513799426766e-02,1.114492072133787814e-01,6.016636317849110432e-02,2.939969958034361480e-02,1.411513979817189887e-02,8.196614679369402384e-03,6.544906905069533543e-02,3.407254557039279125e-02,1.735165874858146662e-02,8.643827432318562654e-03,5.111287595070585638e-03,2.116209307625189617e-03,5.571530325113969052e-04,2.127323466226557715e-04,8.524537655132422107e-05,4.423789679602269310e-05,9.608086974827462082e-04,2.397111338037204999e-04,9.502512947578470022e-05,4.161301947204267422e-05,2.332994668590938545e-05,7.993497043490004365e-04,2.031874945574787281e-04,8.451051232500338703e-05,3.879024592450955658e-05,2.232424076831242063e-05
