wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_24_Deff_2,a_Ci_24_Deff_6,a_Ci_24_Deff_12,a_Ci_24_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_24_Deff_2,b_Ci_24_Deff_6,b_Ci_24_Deff_12,b_Ci_24_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_24_Deff_2,bb_Ci_24_Deff_6,bb_Ci_24_Deff_12,bb_Ci_24_Deff_24
4.000000000000000222e-01,7.774123045821335065e-02,5.447705642321046260e-02,3.811389337828108292e-02,2.442252002024452445e-02,5.816141631408547341e-02,3.357538480807850667e-02,2.049252424734700206e-02,1.158879706039520063e-02,4.767631720777013027e-02,2.449792730701962767e-02,1.399257478556835063e-02,7.546562016140984097e-03,3.791540683508444198e-01,2.181622235553571099e-01,9.857731141893305571e-02,4.258550613705388427e-02,1.293356499603035004e-01,7.156035623097740939e-02,3.307472084337609308e-02,1.498275318660402186e-02,7.305765349463703984e-02,3.956182504469054478e-02,1.895657832176010985e-02,8.942901848394555625e-03,2.278987687219641116e-03,6.595327845243262538e-04,2.545375954098290177e-04,9.760732287074072513e-05,8.344535210715477548e-04,2.127554136470063148e-04,8.176105011663052332e-05,3.361378722632554100e-05,5.559126097519612566e-04,1.375904414098175947e-04,5.392839315023539908e-05,2.321556430596447885e-05
4.010000000000000231e-01,7.811979795639234503e-02,5.467341326528843415e-02,3.821336926266420686e-02,2.446211022105333061e-02,5.843139435108260504e-02,3.367053053432791931e-02,2.052795823666755254e-02,1.159894195332693105e-02,4.787037047199980966e-02,2.454945280210293901e-02,1.400800921087119386e-02,7.549968338140457258e-03,3.808388179708194210e-01,2.181038756239848386e-01,9.845588685727775513e-02,4.253823684777689046e-02,1.298573857868468018e-01,7.151654968447598848e-02,3.303105716443011097e-02,1.496926278649680052e-02,7.334661275195665520e-02,3.954530560090852020e-02,1.893812042985803037e-02,8.937790432418740716e-03,2.274797232177464597e-03,6.576086747720657610e-04,2.537685368485165151e-04,9.736836953030183215e-05,8.343204525758287499e-04,2.127366769412526910e-04,8.176018572499345251e-05,3.364137163012702710e-05,5.573218633901800417e-04,1.380623416663911366e-04,5.413268470095491285e-05,2.332169268744301103e-05
4.020000000000000240e-01,7.864475976244200695e-02,5.494836997757923669e-02,3.835342714836684208e-02,2.451806251836220751e-02,5.879541932643733704e-02,3.379924047828851419e-02,2.057574282348761247e-02,1.161254650176099350e-02,4.812973052716743028e-02,2.461846846907912029e-02,1.402858122588960740e-02,7.554471730063091681e-03,3.792454161861649187e-01,2.176685743041270049e-01,9.830828545312106370e-02,4.248462146643124104e-02,1.292040031932417954e-01,7.129044026599908046e-02,3.296625855973402824e-02,1.495332896920324554e-02,7.298958522403876936e-02,3.941309332016351002e-02,1.890328006975909927e-02,8.930806998587588821e-03,2.273488014221333037e-03,6.560597049110916982e-04,2.531133092690261471e-04,9.715947330976137507e-05,8.357578861608104363e-04,2.130045917681948125e-04,8.184803337792673108e-05,3.369867115518198274e-05,5.600132096515322930e-04,1.387885832721860431e-04,5.442589134448920648e-05,2.346448293555272120e-05
4.030000000000000249e-01,7.930265985756251856e-02,5.529147843799811501e-02,3.852828602850068285e-02,2.458792444564986135e-02,5.924178334952470704e-02,3.395570620385127136e-02,2.063353702893473002e-02,1.162890831696690094e-02,4.844525739207056203e-02,2.470163951901371141e-02,1.405319435369292019e-02,7.559805064821572759e-03,3.785748283923898172e-01,2.172374117464295484e-01,9.811425165634606038e-02,4.241240123867880130e-02,1.288552920432531612e-01,7.106890270917617936e-02,3.288919155686827189e-02,1.493317279530235672e-02,7.280078910882925580e-02,3.928867760590720043e-02,1.886448103564804940e-02,8.922416920284672107e-03,2.270585303758142215e-03,6.539026065575764520e-04,2.521768129354985460e-04,9.684498790095012787e-05,8.368963255159331694e-04,2.132045496587175353e-04,8.192447606442030382e-05,3.376026422290375129e-05,5.629156202014275277e-04,1.395823862236555892e-04,5.476207162959560124e-05,2.363275328562541183e-05
4.040000000000000258e-01,8.006684503182548429e-02,5.568940215995799026e-02,3.873087365543423366e-02,2.466869756233800587e-02,5.975421404955480464e-02,3.413430365540363887e-02,2.069914350537724324e-02,1.164736464147285086e-02,4.880558607822771400e-02,2.479591023381112064e-02,1.408087701843962689e-02,7.565733530024853701e-03,3.767734672603341162e-01,2.166422061360661067e-01,9.789420198541454177e-02,4.233194941534263595e-02,1.280973180552712198e-01,7.077060783501623598e-02,3.279952354226278038e-02,1.491083723147372184e-02,7.238964493988585269e-02,3.911781469470825695e-02,1.881768943049908285e-02,8.912887134363054950e-03,2.268344036878911212e-03,6.516850899481855565e-04,2.512157451154106691e-04,9.652914329314770292e-05,8.385568547078346311e-04,2.135235630565504355e-04,8.204642275721688157e-05,3.384062964527426154e-05,5.663892572312056702e-04,1.405265181837593862e-04,5.516220877326336426e-05,2.382994474002337937e-05
4.050000000000000266e-01,8.091921883486535849e-02,5.613079994156294772e-02,3.895508201007431837e-02,2.475781266441098166e-02,6.031943609290510433e-02,3.432954920205170957e-02,2.077041562429574051e-02,1.166727752791432357e-02,4.920092965503196358e-02,2.489822581378577093e-02,1.411065801999953143e-02,7.572025693913771519e-03,3.755186842938051939e-01,2.160448690925777515e-01,9.764491719156713490e-02,4.224019598448274654e-02,1.275213984136998602e-01,7.047462279283045472e-02,3.270261532900462648e-02,1.488610671664863244e-02,7.208082570762801289e-02,3.895224773999372836e-02,1.876883261889842822e-02,8.902637512432127684e-03,2.265185163533856884e-03,6.488857593971405265e-04,2.500108845727975516e-04,9.614424944565292839e-05,8.400272280665707549e-04,2.137869593194947893e-04,8.215915605625454530e-05,3.392631992974866838e-05,5.699796798206068979e-04,1.415213422415497455e-04,5.559814233688277767e-05,2.404879796166295718e-05
4.060000000000000275e-01,8.183649763747524730e-02,5.660369140025789392e-02,3.919456040968759269e-02,2.485261642246211489e-02,6.092257418928140322e-02,3.453628473296049828e-02,2.084540613029960826e-02,1.168807927376225991e-02,4.962091612314935285e-02,2.500584422940538981e-02,1.414170541476447371e-02,7.578491286998662382e-03,3.735930636849363884e-01,2.153496656845874657e-01,9.738112121654950160e-02,4.214431862574405385e-02,1.267074210374179444e-01,7.013431832075790739e-02,3.259890523269911439e-02,1.486038162549649030e-02,7.164545657380333443e-02,3.876077394791795777e-02,1.871576828125348299e-02,8.891879553396190086e-03,2.262522644232839702e-03,6.458756478836908885e-04,2.485962915875393410e-04,9.568871611714398705e-05,8.417879064488829497e-04,2.140867121153355542e-04,8.226889363237785966e-05,3.401528338002311351e-05,5.738640144393571466e-04,1.425881726533263934e-04,5.606313625516921791e-05,2.428467271138974991e-05
4.069999999999999729e-01,8.280093132213178775e-02,5.709773556684369367e-02,3.944360661779418298e-02,2.495073690818324502e-02,6.155092537784601081e-02,3.474950420507569304e-02,2.092220243493528309e-02,1.170922247189977970e-02,5.005639987046189843e-02,2.511608489895159751e-02,1.417320122724208264e-02,7.584947343872805101e-03,3.720731734375679611e-01,2.146665909650005977e-01,9.710337522126703813e-02,4.204323421858042337e-02,1.260340923247793288e-01,6.980309263344018633e-02,3.249281996689581953e-02,1.483375658135366142e-02,7.129043185829261886e-02,3.857783277914577508e-02,1.866278343231382586e-02,8.880986371574558016e-03,2.259412183032581851e-03,6.429779701877620310e-04,2.471933128967732595e-04,9.522316660906292383e-05,8.434169680550681171e-04,2.144121386389438375e-04,8.238174402245155496e-05,3.410587000265653194e-05,5.777644607655521569e-04,1.436915722012232968e-04,5.654493788264746654e-05,2.453136915237429390e-05
4.079999999999999738e-01,8.379111218190288257e-02,5.760276647611428658e-02,3.969692290211215835e-02,2.504999291800075883e-02,6.219111991327294642e-02,3.496469740824131867e-02,2.099911839887524251e-02,1.173022592715822904e-02,5.049820185534646677e-02,2.522659623007245805e-02,1.420443565337389802e-02,7.591234825119244287e-03,3.700982291055431306e-01,2.139273977676413585e-01,9.682253782663921560e-02,4.194228626523708453e-02,1.252064541173326662e-01,6.944839491322536695e-02,3.238488793396759186e-02,1.480729651714820377e-02,7.085554950605359170e-02,3.838161137349465485e-02,1.860841949429332953e-02,8.870121597467623895e-03,2.256696482815757302e-03,6.408465236760065671e-04,2.461761680711738089e-04,9.487763407261886619e-05,8.452093318031462426e-04,2.149372750748108625e-04,8.259433594361377713e-05,3.423156733257071794e-05,5.817716444668991418e-04,1.449030864497963418e-04,5.708187662980356280e-05,2.480090107505342214e-05
4.089999999999999747e-01,8.478930600849915455e-02,5.810946538491498781e-02,3.994983728940205980e-02,2.514851808225149199e-02,6.283164351449768703e-02,3.517786051137437864e-02,2.107475247339445773e-02,1.175071647922432821e-02,5.093824435796925898e-02,2.533526926662180850e-02,1.423482217432897601e-02,7.597238499998314534e-03,3.684635090714171168e-01,2.132154154282046854e-01,9.653925740844461478e-02,4.184068833310881919e-02,1.245028645569350723e-01,6.911070665711811778e-02,3.227863950887563393e-02,1.478109394984302924e-02,7.049175338623440978e-02,3.819790871788605185e-02,1.855599580024661771e-02,8.859582727944183625e-03,2.253404105148844577e-03,6.389564664460867108e-04,2.452815414284350432e-04,9.456267801451919666e-05,8.468102407954511022e-04,2.155470283244071523e-04,8.285776844269747768e-05,3.437470688913797027e-05,5.856713128847816250e-04,1.461794556064600274e-04,5.765871668463343566e-05,2.508661824959721508e-05
