wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_24_Deff_2,a_Ci_24_Deff_6,a_Ci_24_Deff_12,a_Ci_24_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_24_Deff_2,b_Ci_24_Deff_6,b_Ci_24_Deff_12,b_Ci_24_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_24_Deff_2,bb_Ci_24_Deff_6,bb_Ci_24_Deff_12,bb_Ci_24_Deff_24
4.000000000000000222e-01,8.125465151692279342e-02,5.631052235140318607e-02,3.905771643320635200e-02,2.480266886066798820e-02,6.038800580527453610e-02,3.435250840643085113e-02,2.077859854087510394e-02,1.166922142437112030e-02,4.921707686605097942e-02,2.490312974679866065e-02,1.411195209186966518e-02,7.572306705455214212e-03,3.760598624082794883e-01,2.158442346060551464e-01,9.750545255751486007e-02,4.217959384750829405e-02,1.276733541104554670e-01,7.045232807393468633e-02,3.268736097500874599e-02,1.488032710543321473e-02,7.213899832890920127e-02,3.894346088839237274e-02,1.876382410566015610e-02,8.900421324147778437e-03,2.256066071262178164e-03,6.452053540921949505e-04,2.487159918603318700e-04,9.574964029154609598e-05,8.361666216895093920e-04,2.120987000373436050e-04,8.162786835773911775e-05,3.374990786571101242e-05,5.659765485906733664e-04,1.398015603829053067e-04,5.501654777789980480e-05,2.383134461487976680e-05
4.010000000000000231e-01,8.220150432772937998e-02,5.679535790348802515e-02,3.930214155343458859e-02,2.489901524174796543e-02,6.100787570731006082e-02,3.456384407019763572e-02,2.085514893185352187e-02,1.169043666286785632e-02,4.964789165741671784e-02,2.501305133874485304e-02,1.414366837907819405e-02,7.578925283690272907e-03,3.772374295831145141e-01,2.154205327252805280e-01,9.721886990025138675e-02,4.207143317647452085e-02,1.279320264758779246e-01,7.024179139695943541e-02,3.258720794172013935e-02,1.485238458268758888e-02,7.228764924880082265e-02,3.883728427356502449e-02,1.871844195336158992e-02,8.889660588030860733e-03,2.248613379637729674e-03,6.413031728725496856e-04,2.471405458328721958e-04,9.525629093999521033e-05,8.366570054421062748e-04,2.121027967907362108e-04,8.165934671575735362e-05,3.382064025947617889e-05,5.693961153873338104e-04,1.407542123808996925e-04,5.544913002540616319e-05,2.405962245605020887e-05
4.020000000000000240e-01,8.309630912564774929e-02,5.725318342097224233e-02,3.953187310413554256e-02,2.498905383947955944e-02,6.159349081463369457e-02,3.476252136996044184e-02,2.092664401678753089e-02,1.171010694202954776e-02,5.005392878026931891e-02,2.511585360139612089e-02,1.417306332452903175e-02,7.584965068000515745e-03,3.753326190936100981e-01,2.147486846290748708e-01,9.696679846708204653e-02,4.198070420425157462e-02,1.271304274633051901e-01,6.991272119488577130e-02,3.248789808882798086e-02,1.482797813006492098e-02,7.186092799387684693e-02,3.865265701133760445e-02,1.866771118428292228e-02,8.879481106310477614e-03,2.245466306097431471e-03,6.386622145199360133e-04,2.460337404690748301e-04,9.490558720977420031e-05,8.386860788423856905e-04,2.124499334686115698e-04,8.179460506456076130e-05,3.391683981347537241e-05,5.736027829838021312e-04,1.418600079319550606e-04,5.591948316684298563e-05,2.429473132618288882e-05
4.030000000000000249e-01,8.395866841372573441e-02,5.769154741605700409e-02,3.975080599330690911e-02,2.507442899361320143e-02,6.215523369012854182e-02,3.495117168717108702e-02,2.099406564007357673e-02,1.172852811474839156e-02,5.044197830882765632e-02,2.521289808794000692e-02,1.420054658837411818e-02,7.590522765210558701e-03,3.744909236206445668e-01,2.141926527496878785e-01,9.672041635868544596e-02,4.189124041065224457e-02,1.267085028273039760e-01,6.964241000185197872e-02,3.239560988698074462e-02,1.480448456128873568e-02,7.164323121695483076e-02,3.850624352723724247e-02,1.862277876673895313e-02,8.870082747891938971e-03,2.241825126593050953e-03,6.361164413310846800e-04,2.449386554147843400e-04,9.454563678205687711e-05,8.403821282824257841e-04,2.127744391687879169e-04,8.193166518568370093e-05,3.401392211415779811e-05,5.776050498031561975e-04,1.429455894152289531e-04,5.638852995079359214e-05,2.452944007061676960e-05
4.040000000000000258e-01,8.479443105550127369e-02,5.811506146709366494e-02,3.996148185549004694e-02,2.515619270792279066e-02,6.269849419871695306e-02,3.513235929480600095e-02,2.105840772665649313e-02,1.174598768942384033e-02,5.081624250650536301e-02,2.530562702470891961e-02,1.422656940668894435e-02,7.595702082989822662e-03,3.726437842950129364e-01,2.135592226156092788e-01,9.648822632125973742e-02,4.180893008943668138e-02,1.259474831182620103e-01,6.933696253355542405e-02,3.230499385792793415e-02,1.478259742032024537e-02,7.124408474119783841e-02,3.833694539361681003e-02,1.857690357721568028e-02,8.861079431888716634e-03,2.239711914618101873e-03,6.340562145371301693e-04,2.440376617039734155e-04,9.425236334469630842e-05,8.425280826865737824e-04,2.132407699062278397e-04,8.211869462831397723e-05,3.412459547669564983e-05,5.817935143055647613e-04,1.440980872969469082e-04,5.688104189728889452e-05,2.477035849734825394e-05
4.050000000000000266e-01,8.561722552210471182e-02,5.852962594548716257e-02,4.016694330547529446e-02,2.523558750612588109e-02,6.323088355114711567e-02,3.530835291185373259e-02,2.112050919803452886e-02,1.176272549750790979e-02,5.118180356004081721e-02,2.539520585982842776e-02,1.425147597599554089e-02,7.600578238545990448e-03,3.714275305148740380e-01,2.129911869335596175e-01,9.625779863712460860e-02,4.172686262283448189e-02,1.254116746967988694e-01,6.906554750259644160e-02,3.221825778525767153e-02,1.476119754221952469e-02,7.096937444559298092e-02,3.819017656867240013e-02,1.853444365111156511e-02,8.852550683839029502e-03,2.237283418748776606e-03,6.318163711781714202e-04,2.430586608457765009e-04,9.394270406619167619e-05,8.444094306945919282e-04,2.136660116845877561e-04,8.229966108175331015e-05,3.423631886710963937e-05,5.857844639457770878e-04,1.452321490371861785e-04,5.737645458953908798e-05,2.501459036352953456e-05
4.060000000000000275e-01,8.643459875092512901e-02,5.893987107699791284e-02,4.036960412953340127e-02,2.531357761906036230e-02,6.375766409743159613e-02,3.548131549211147595e-02,2.118119425815463697e-02,1.177897484114316141e-02,5.154249372928812467e-02,2.548280434983919013e-02,1.427562660037086026e-02,7.605230950023024808e-03,3.696060447481554490e-01,2.123700435107719053e-01,9.603318169231399304e-02,4.164823117512773953e-02,1.246731382142694383e-01,6.877052954310218513e-02,3.213162285267646273e-02,1.474056593534078981e-02,7.058774921764796040e-02,3.802879422388350666e-02,1.849106245321171724e-02,8.844194340504369159e-03,2.235747190743267703e-03,6.296294243695231769e-04,2.419841708374209979e-04,9.359882487191971856e-05,8.464941413279080795e-04,2.141258094972583830e-04,8.247617947474062588e-05,3.434712558671997338e-05,5.898093457422676645e-04,1.463790679320957420e-04,5.787443528493368261e-05,2.526175292618836046e-05
4.069999999999999729e-01,8.725875407495331526e-02,5.935107382615362193e-02,4.057189867525144711e-02,2.539110618845336759e-02,6.428533460612068096e-02,3.565303592173474367e-02,2.124107723380216917e-02,1.179490456099210015e-02,5.190252410669793370e-02,2.556931171964299532e-02,1.429926660535819211e-02,7.609709789456292964e-03,3.682212987541521043e-01,2.117873744004026282e-01,9.580630930600196604e-02,4.156852096790817491e-02,1.240892535404387598e-01,6.849622227803750518e-02,3.204659581592111950e-02,1.472000206610096611e-02,7.029220244253210625e-02,3.788177785780823259e-02,1.844962552295460745e-02,8.836084681096883012e-03,2.233948587747487322e-03,6.276588691432112999e-04,2.409634529700812472e-04,9.325841961249941756e-05,8.483806099347941101e-04,2.145980730944207419e-04,8.264929286160874417e-05,3.445535650191297291e-05,5.936807750645652299e-04,1.475195807325752908e-04,5.837033711751609788e-05,2.551038406818534432e-05
4.079999999999999738e-01,8.809744287632309545e-02,5.976803765257501788e-02,4.077617671830448265e-02,2.546905043883993663e-02,6.481883823627390684e-02,3.582527258682163818e-02,2.130074231795495848e-02,1.181066040553452844e-02,5.226528662067503328e-02,2.565559454795867528e-02,1.432261316695620373e-02,7.614048889467445874e-03,3.663934471025708794e-01,2.111546974895008588e-01,9.557876859222648458e-02,4.148969883327672387e-02,1.233570044188820602e-01,6.820064915247268933e-02,3.196021779921166817e-02,1.469967318774611890e-02,6.991982770293340976e-02,3.772241654973697983e-02,1.840693177714025630e-02,8.827992895322857303e-03,2.232566683357808772e-03,6.264383191542991208e-04,2.403198200292070688e-04,9.303564084146968588e-05,8.503807396978793100e-04,2.152497712186485798e-04,8.291218739098107741e-05,3.459469602764764841e-05,5.975724561563182206e-04,1.487432170003232640e-04,5.891041827944843454e-05,2.577717147898533263e-05
4.089999999999999747e-01,8.896128313791351605e-02,6.019579801984056844e-02,4.098494430953117384e-02,2.554834378381562465e-02,6.536397888924565247e-02,3.599973788948256093e-02,2.136080147363227100e-02,1.182640871279145960e-02,5.263438574880602294e-02,2.574240555027264982e-02,1.434587154448288895e-02,7.618287066421454770e-03,3.648879132287454197e-01,2.105382901827629050e-01,9.534350736453767183e-02,4.140806409943016686e-02,1.227377207890884420e-01,6.791638026736362965e-02,3.187352512347350897e-02,1.467903070540091913e-02,6.961130528213840818e-02,3.757205656753379724e-02,1.836513929457164393e-02,8.819987609000616915e-03,2.230475574122235422e-03,6.253649222424626257e-04,2.397619580903870393e-04,9.283236032943695075e-05,8.521848086806260150e-04,2.159785437598015878e-04,8.322357596523695627e-05,3.475164515037522031e-05,6.013836915084140458e-04,1.500377693315721624e-04,5.949420234263739290e-05,2.606271806303012337e-05
