wavelength,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_2_Deff_48,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_5_Deff_48,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,a_Ci_8_Deff_48,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_2_Deff_48,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_5_Deff_48,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,b_Ci_8_Deff_48,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_2_Deff_48,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_5_Deff_48,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24,bb_Ci_8_Deff_48
4.000000000000000222e-01,8.008698076565054502e-02,4.975887562085426485e-02,2.854138667094720944e-02,1.803169307220899714e-02,4.239100024827260893e-02,2.326216676756050553e-02,1.224168394410236199e-02,7.401180895782654909e-03,2.848682906428010031e-02,1.493096651888426926e-02,7.667748006533988900e-03,4.590079345005012787e-03,1.843161807690697762e-01,8.462913697363641519e-02,3.798865634407479902e-02,2.115530436919198232e-02,5.836897850371515484e-02,2.883248213007795838e-02,1.399715213504383951e-02,8.175544138456601953e-03,3.344609057974069766e-02,1.717211764615095629e-02,8.621405400795719917e-03,5.116953547772249908e-03,5.378525273455060348e-04,2.062811606094596230e-04,8.390439616392354012e-05,4.422074059589859265e-05,2.492517960029997639e-04,1.002299184700430277e-04,4.460646290573818854e-05,2.524770688772990079e-05,2.229840428138300009e-04,9.441842405376992540e-05,4.395896148759895834e-05,2.547125562300514492e-05
4.010000000000000231e-01,8.007436232271872290e-02,4.975375963630900011e-02,2.853996652143864915e-02,1.803138511479522241e-02,4.239087666116844039e-02,2.326200164785830957e-02,1.224151729727038403e-02,7.401020524830192668e-03,2.848664478531299366e-02,1.493044764205142191e-02,7.667321312468233091e-03,4.589757556567044920e-03,1.845558814965126138e-01,8.464212260537169741e-02,3.798794243077297655e-02,2.115520544889160429e-02,5.846960859997946819e-02,2.884656508628104590e-02,1.399904395170687398e-02,8.176115187511262886e-03,3.350356749379173465e-02,1.718350139238715782e-02,8.623767453882096035e-03,5.117784189392077764e-03,5.379653813029688578e-04,2.063076055132787338e-04,8.392627507907430141e-05,4.423860703571969727e-05,2.499075110239675043e-04,1.004753867410393425e-04,4.471079431575836763e-05,2.530594645565012563e-05,2.238878630907027549e-04,9.478090046001069757e-05,4.411940575025896899e-05,2.556219237203219709e-05
4.020000000000000240e-01,8.010917952164417488e-02,4.976728191330995199e-02,2.854412491357622567e-02,1.803272953943452564e-02,4.240343325341561914e-02,2.326495589340567965e-02,1.224182066901489778e-02,7.400837654819188843e-03,2.849100185490970050e-02,1.493049997833689052e-02,7.666729456839440141e-03,4.589232821563555415e-03,1.844012099021095918e-01,8.462521900315389534e-02,3.798654698217598241e-02,2.115522819247830574e-02,5.840965954747433936e-02,2.883671324129950808e-02,1.399823970207406641e-02,8.176417713475688312e-03,3.347847450035033867e-02,1.717986836412165735e-02,8.624061297176825389e-03,5.118389451211270702e-03,5.387991349473804890e-04,2.065535135162471292e-04,8.400990730598918439e-05,4.427905989353642026e-05,2.509589672368970942e-04,1.008582068470958369e-04,4.487159169111911951e-05,2.539526623543274765e-05,2.252353526586661661e-04,9.532249459689125432e-05,4.436184610316586032e-05,2.570052620175441191e-05
4.030000000000000249e-01,8.018559583470752372e-02,4.979702579278026675e-02,2.855314352351167456e-02,1.803551545709171366e-02,4.242685210618753200e-02,2.327053291095439527e-02,1.224250519801909839e-02,7.400625152435964110e-03,2.849921904517293408e-02,1.493100315815420673e-02,7.665978192162470339e-03,4.588524744614715448e-03,1.842966850453462424e-01,8.458912207196257749e-02,3.797724622775418973e-02,2.115284873957234968e-02,5.837936748647930274e-02,2.882795625337620030e-02,1.399704928482523036e-02,8.176652179760835956e-03,3.347320259167411299e-02,1.717934608766008217e-02,8.624951904748628939e-03,5.119244721405517146e-03,5.394012254976753365e-04,2.067339071785918099e-04,8.408015860253877105e-05,4.432021722230321031e-05,2.521424058600374310e-04,1.013173414690999772e-04,4.507406242989836411e-05,2.551041080296907320e-05,2.268693956511868203e-04,9.600368434011401816e-05,4.467424733183333115e-05,2.588062397369734322e-05
4.040000000000000258e-01,8.029766181612646436e-02,4.984068289472830260e-02,2.856631347214130812e-02,1.803952671247638362e-02,4.245966714338252762e-02,2.327837089247471181e-02,1.224351288417287881e-02,7.400383360262932295e-03,2.851081713331270195e-02,1.493189938302093289e-02,7.665086665795593779e-03,4.587656087604891075e-03,1.840334775412614809e-01,8.453284839458928557e-02,3.796486757055038408e-02,2.114968886692034089e-02,5.828812608624377861e-02,2.880894651556974856e-02,1.399453170225000570e-02,8.176749191247245988e-03,3.343831766920505461e-02,1.717327543959278752e-02,8.625143923207727326e-03,5.120093552365222178e-03,5.402366164454825868e-04,2.069954908999279591e-04,8.417723035027316174e-05,4.437341532583441705e-05,2.535481126492837600e-04,1.018734782178057059e-04,4.532010585864597259e-05,2.565010515465669715e-05,2.287887291122440558e-04,9.681954350673555780e-05,4.505137799552475240e-05,2.609845288464520094e-05
4.050000000000000266e-01,8.043948934231984205e-02,4.989589115332927760e-02,2.858291601549651367e-02,1.804454669760175572e-02,4.250015942807797847e-02,2.328802145452376834e-02,1.224476544527552078e-02,7.400107510081892909e-03,2.852518765150113128e-02,1.493309943026277509e-02,7.664067826487626703e-03,4.586648185752199673e-03,1.837933892532881697e-01,8.446255420158187144e-02,3.794707401675709996e-02,2.114490184506419290e-02,5.821302380738598709e-02,2.879012933925562470e-02,1.399171171613206900e-02,8.176807558907662685e-03,3.341487203023990604e-02,1.716897534004929032e-02,8.625708247708660167e-03,5.121117573643967948e-03,5.408211298916671154e-04,2.071769707604947182e-04,8.426053144898618737e-05,4.442714759072140300e-05,2.550212390611672074e-04,1.024846820396665552e-04,4.559886809119434594e-05,2.581013209961043387e-05,2.308691676248146921e-04,9.773348885405660797e-05,4.548160234033365778e-05,2.634851431471175952e-05
4.060000000000000275e-01,8.060514368119855999e-02,4.996038184534465354e-02,2.860226642925543794e-02,1.805036770749311043e-02,4.254684119622320626e-02,2.329913613159172864e-02,1.224621219547041007e-02,7.399800476534051583e-03,2.854185510883996968e-02,1.493456179619580271e-02,7.662947132337061262e-03,4.585525806041108009e-03,1.834538916738670811e-01,8.437863287564867365e-02,3.792705631403803235e-02,2.113955072946726438e-02,5.810072255097580018e-02,2.876490533585800147e-02,1.398805509796776161e-02,8.176786826738155489e-03,3.337367083254448585e-02,1.716132281415063549e-02,8.625866392927641207e-03,5.122154748882564758e-03,5.413973832563036400e-04,2.072926396257580189e-04,8.432478352783180956e-05,4.447933301766051814e-05,2.565620330748672275e-04,1.031313940997227849e-04,4.590098132224435505e-05,2.598617817317757181e-05,2.330532340687686734e-04,9.871591888909078650e-05,4.595287233382451585e-05,2.662490359481713517e-05
4.069999999999999729e-01,8.078846420834456810e-02,5.003162224523310941e-02,2.862359872441230801e-02,1.805676209764962847e-02,4.259797400283406310e-02,2.331126890441203442e-02,1.224777967152284978e-02,7.399459904667546328e-03,2.856016535978835730e-02,1.493619128930232659e-02,7.661738448787305464e-03,4.584311056186543901e-03,1.831358068785151061e-01,8.428656479247986777e-02,3.790371524705123119e-02,2.113320290769622051e-02,5.800167648476492466e-02,2.874033270461005818e-02,1.398429025067473262e-02,8.176761651024095148e-03,3.334128108708041272e-02,1.715511338358204768e-02,8.626319245536707633e-03,5.123318379686955457e-03,5.419714762535055236e-04,2.073790998991623688e-04,8.437286968357855495e-05,4.452715568500295742e-05,2.581015019278774087e-04,1.037865710507343672e-04,4.621492298543099253e-05,2.617290690761417800e-05,2.352621243372264397e-04,9.973450739531771457e-05,4.645226788479037480e-05,2.692132133421313271e-05
4.079999999999999738e-01,8.098370315818484433e-02,5.010728819276874524e-02,2.864619120204767166e-02,1.806351004619012948e-02,4.265198812723216409e-02,2.332399639165151986e-02,1.224938945536406185e-02,7.399080122917643665e-03,2.857953513265452244e-02,1.493789132591844329e-02,7.660450496996746780e-03,4.583023975323024038e-03,1.827527080542111493e-01,8.418722097191808085e-02,3.787955505610227092e-02,2.112669073460272592e-02,5.787840779649110895e-02,2.871186517867503271e-02,1.398007566335886590e-02,8.176710855287920576e-03,3.329723135081943952e-02,1.714676989235834267e-02,8.626520626528572447e-03,5.124490125833769394e-03,5.430234300900033334e-04,2.077080590145672647e-04,8.450066166366142272e-05,4.460121117492237236e-05,2.597348884420284053e-04,1.044984174519005227e-04,4.655484470647028663e-05,2.637318575872229080e-05,2.375080327638700846e-04,1.007947492739412156e-04,4.697814783454784960e-05,2.723472660728841637e-05
4.089999999999999747e-01,8.118575956818821493e-02,5.018546032687423719e-02,2.866948267301752673e-02,1.807044661690646384e-02,4.270731037915700967e-02,2.333693364838225828e-02,1.225098419977870869e-02,7.398663395828822611e-03,2.859928195593623018e-02,1.493954862835515651e-02,7.659091220125206073e-03,4.581685038876558494e-03,1.823956023574051233e-01,8.408491990755903589e-02,3.785378195867944440e-02,2.111969532179671163e-02,5.776866049860852892e-02,2.868489413765526810e-02,1.397598238759052182e-02,8.176693043892757987e-03,3.326123759084274878e-02,1.713989701425182310e-02,8.626998947051062877e-03,5.125751865936828758e-03,5.442054853645579776e-04,2.081259063012638039e-04,8.465492731540967422e-05,4.468352186994476577e-05,2.614323301851613577e-04,1.052605229508654373e-04,4.691632011051113309e-05,2.658382226065502771e-05,2.397903971623211578e-04,1.018974596257709729e-04,4.752706058370327711e-05,2.756137448750055875e-05
