wavelength,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_2_Deff_48,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_5_Deff_48,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,a_Ci_8_Deff_48,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_2_Deff_48,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_5_Deff_48,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,b_Ci_8_Deff_48,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_2_Deff_48,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_5_Deff_48,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24,bb_Ci_8_Deff_48
4.000000000000000222e-01,7.916519986244524576e-02,4.939576601440291703e-02,2.843188421939103760e-02,1.799900531290022851e-02,4.214537692864205737e-02,2.320150729362378816e-02,1.223237024738786476e-02,7.401497572227183977e-03,2.839847946046972216e-02,1.491968563600406389e-02,7.670827457553692705e-03,4.593939509049287107e-03,1.855977171567768091e-01,8.509877507407483110e-02,3.812092786968097891e-02,2.119393911962225499e-02,5.875165695385056036e-02,2.894525669466339879e-02,1.401870969937876223e-02,8.178435022255910181e-03,3.357172261620804815e-02,1.720434207970247126e-02,8.623553176115782495e-03,5.114409524284335012e-03,5.397699168470762891e-04,2.069504227794724982e-04,8.396986286302925921e-05,4.413542638897987962e-05,2.456428014460239296e-04,9.852412761347338480e-05,4.372305222691430260e-05,2.470644354655319858e-05,2.169236211001279767e-04,9.153516864601938760e-05,4.250865606138235137e-05,2.460170606859469491e-05
4.010000000000000231e-01,7.919288270994898071e-02,4.940650741805563406e-02,2.843524072302534844e-02,1.800012557448555511e-02,4.215622379156958727e-02,2.320410103110338851e-02,1.223265487213973449e-02,7.401345619889627622e-03,2.840233017989375608e-02,1.491973499217968263e-02,7.670298754162894334e-03,4.593466876419111805e-03,1.857801341170912945e-01,8.509057292875676914e-02,3.811431493063385800e-02,2.119212993989873922e-02,5.883527299115654668e-02,2.895395517382340356e-02,1.401951319247041541e-02,8.178830658077789958e-03,3.362399301688377001e-02,1.721416061375656559e-02,8.625745352846141828e-03,5.115319244331333060e-03,5.397750379737930974e-04,2.069386180792356228e-04,8.398545659181829879e-05,4.415533885906942554e-05,2.464218326374769015e-04,9.883022183727829758e-05,4.385994450270968046e-05,2.478497130407450244e-05,2.180512938176022773e-04,9.200532652652173389e-05,4.272381958449050901e-05,2.472560123984228364e-05
4.020000000000000240e-01,7.925686676722293322e-02,4.943167667979801727e-02,2.844296029545542726e-02,1.800255086563913587e-02,4.217699348031770518e-02,2.320918335259439247e-02,1.223333204918089848e-02,7.401188499896398099e-03,2.840980476280568351e-02,1.492027634185259452e-02,7.669661360817347714e-03,4.592846448390596609e-03,1.855856812478530737e-01,8.505918266600016875e-02,3.810876862381504249e-02,2.119091773653903471e-02,5.876216692672939917e-02,2.894034211379065136e-02,1.401796628574354664e-02,8.179010779643627882e-03,3.359388425782983828e-02,1.720925762294432323e-02,8.625900560834740341e-03,5.115973523599100931e-03,5.405274339296957343e-04,2.071562225983270662e-04,8.406392784948598903e-05,4.419668709240189008e-05,2.475468477309848746e-04,9.924995770528554360e-05,4.404089772573660159e-05,2.488694013556487877e-05,2.195368998432336378e-04,9.261372125085467024e-05,4.300044910686584050e-05,2.488459729348554975e-05
4.030000000000000249e-01,7.935132298953581631e-02,4.946882463476144631e-02,2.845430427046150706e-02,1.800606141574747840e-02,4.220582021803412354e-02,2.321623585207449603e-02,1.223430615592852912e-02,7.401016834232341038e-03,2.842018942049051589e-02,1.492117794489733820e-02,7.668917795861870251e-03,4.592096660784341679e-03,1.854564203026742575e-01,8.501382683843090871e-02,3.809676556225510130e-02,2.118771882820761135e-02,5.872324753295701805e-02,2.892896976346670534e-02,1.401622316959876165e-02,8.179135217184088993e-03,3.358522622631161803e-02,1.720777972622026739e-02,8.626645279161366392e-03,5.116834169175754794e-03,5.410658396275518089e-04,2.073127559795851893e-04,8.412805587355417429e-05,4.423688157128544173e-05,2.487509202312121427e-04,9.972136223955519482e-05,4.425096380192934317e-05,2.500710892179383536e-05,2.212233433153580685e-04,9.332109122822748336e-05,4.332671216713454137e-05,2.507320361311486890e-05
4.040000000000000258e-01,7.947034003943409530e-02,4.951563769236307089e-02,2.846855527890616855e-02,1.801043661028674595e-02,4.224123559479203011e-02,2.322489229309843486e-02,1.223551713813234194e-02,7.400830088556745873e-03,2.843299671922416838e-02,1.492237831152846972e-02,7.668085784243116459e-03,4.591239602270239320e-03,1.851845604581433546e-01,8.495421931440787222e-02,3.808328913589129061e-02,2.118419113478858459e-02,5.862760044239179874e-02,2.890872536859749251e-02,1.401342059542377665e-02,8.179155510429133441e-03,3.354793470197640209e-02,1.720106791464299373e-02,8.626705141717226633e-03,5.117652341833462890e-03,5.418576796561199848e-04,2.075572248611261435e-04,8.421919853121066454e-05,4.428771962127984725e-05,2.501271397536503831e-04,1.002658796000611529e-04,4.449225702522983510e-05,2.514428492659739680e-05,2.231119652131539086e-04,9.412318657488263896e-05,4.369758039725850493e-05,2.528747905732638411e-05
4.050000000000000266e-01,7.960818569166600023e-02,4.956980583645854976e-02,2.848500720157796928e-02,1.801546287978579922e-02,4.228155090727673399e-02,2.323471002954642650e-02,1.223688732676965658e-02,7.400623401629769643e-03,2.844762492535003739e-02,1.492378790948890172e-02,7.667177567720234385e-03,4.590296134188607061e-03,1.849508038486853967e-01,8.488589901489181078e-02,3.806586980919254848e-02,2.117945905848027735e-02,5.855248842644911883e-02,2.888985640748240047e-02,1.401052084060811463e-02,8.179154180708967867e-03,3.352356264865900826e-02,1.719644092847671946e-02,8.627135628899907163e-03,5.118604500583238612e-03,5.424130288471825084e-04,2.077250118536309452e-04,8.429563199554491906e-05,4.433731843075264467e-05,2.515195634068119425e-04,1.008410689301833985e-04,4.475378847192626886e-05,2.529421614091711360e-05,2.250795445688764745e-04,9.498368770989773144e-05,4.410148895612712322e-05,2.552194954621655955e-05
4.060000000000000275e-01,7.975910246125827996e-02,4.962912860633331147e-02,2.850299520942304460e-02,1.802093831776870395e-02,4.232533242289390762e-02,2.324535547757642512e-02,1.223836915939459022e-02,7.400400278336846313e-03,2.846361792002451846e-02,1.492536902168759699e-02,7.666218876014546310e-03,4.589290802537023158e-03,1.846330419407518630e-01,8.480960056704445194e-02,3.804776696358466020e-02,2.117459896105404124e-02,5.844428344147903354e-02,2.886587085383746781e-02,1.400702848151586660e-02,8.179101286715914285e-03,3.348247796906287516e-02,1.718876032327182335e-02,8.627167379818933071e-03,5.119532368627146592e-03,5.429769871591345193e-04,2.078305106319714335e-04,8.435197883836353244e-05,4.438358512651980567e-05,2.529305744373301743e-04,1.014277173114296179e-04,4.502621605399429453e-05,2.545258207866536094e-05,2.270705762892378263e-04,9.587330208955184129e-05,4.452640671692133857e-05,2.577069538795447306e-05
4.069999999999999729e-01,7.991715682100947182e-02,4.969116113685416447e-02,2.852177981711416510e-02,1.802664348520745252e-02,4.237090816214225675e-02,2.325640038479484528e-02,1.223989299175519060e-02,7.400159223877635084e-03,2.848034784447728979e-02,1.492703155255348246e-02,7.665224136849837014e-03,4.588245596342514776e-03,1.843512399473839491e-01,8.473034587621645908e-02,3.802777613002214507e-02,2.116915302473208055e-02,5.835348405078251421e-02,2.884367943111023486e-02,1.400362677281440441e-02,8.179059635011344531e-03,3.345153527630838342e-02,1.718281253041605006e-02,8.627489441717163185e-03,5.120545468739214762e-03,5.435603085531059237e-04,2.079135002487815531e-04,8.439199931443195724e-05,4.442387764275926000e-05,2.542917895634500165e-04,1.019990688536621623e-04,4.529800589291420055e-05,2.561400046438707954e-05,2.290069707834399592e-04,9.675977999998849400e-05,4.495933659889341899e-05,2.602735225180813607e-05
4.079999999999999738e-01,8.007683014761968199e-02,4.975367593222616847e-02,2.854066995809906998e-02,1.803236820815705410e-02,4.241678067481682163e-02,2.326744165253817609e-02,1.224138473438762809e-02,7.399895518489010490e-03,2.849726031348007171e-02,1.492868480298959952e-02,7.664202689870450863e-03,4.587180417614985725e-03,1.840191408969358289e-01,8.464920622217138313e-02,3.800843557008019152e-02,2.116395784471029884e-02,5.824233072094695679e-02,2.881879799949518123e-02,1.399999955974262286e-02,8.179015040942955173e-03,3.340990384064451701e-02,1.717499903012658855e-02,8.627560504197568508e-03,5.121527857784840404e-03,5.446474344396869073e-04,2.082489177134606601e-04,8.451272093830126519e-05,4.448916227558078390e-05,2.557006870319166359e-04,1.026046184826671893e-04,4.558377764716557506e-05,2.578147552204154222e-05,2.309025721761011828e-04,9.764924508888921963e-05,4.539880378639212855e-05,2.628889866777978565e-05
4.089999999999999747e-01,8.023326818247525360e-02,4.981485553745182426e-02,2.855913595288825380e-02,1.803795728866505049e-02,4.246145317923139678e-02,2.327811684242609910e-02,1.224279226281527709e-02,7.399612669610087720e-03,2.851370524775112547e-02,1.493022267305102804e-02,7.663163515769896156e-03,4.586115720381605046e-03,1.837269938668869285e-01,8.457009713763910530e-02,3.798885547301145138e-02,2.115867079760190561e-02,5.814857680424950076e-02,2.879649284003830620e-02,1.399667985657751697e-02,8.179016101109827866e-03,3.337751147755040060e-02,1.716891419356371060e-02,8.627899103961566424e-03,5.122558368396557330e-03,5.458805137553931520e-04,2.086777541312818300e-04,8.465907863129632925e-05,4.456087834240523763e-05,2.571240198550627030e-04,1.032363455159536562e-04,4.587854388842155430e-05,2.595161705199440987e-05,2.327550844215300321e-04,9.854180711864301537e-05,4.584111914172649046e-05,2.655149276411547201e-05
4.099999999999999756e-01,8.038171302491242676e-02,4.987289519381658820e-02,2.857663299113438748e-02,1.804324786827745872e-02,4.250372798920579870e-02,2.328817907978793234e-02,1.224409225024716830e-02,7.399321547040449767e-03,2.852922599282208677e-02,1.493160826063544971e-02,7.662133589087793961e-03,4.585076843223936417e-03,1.834078942019410352e-01,8.449374750008310786e-02,3.797095806280824382e-02,2.115392333291038138e-02,5.804283621967939316e-02,2.877314677218226896e-02,1.399337027714050302e-02,8.179032925083866423e-03,3.333819709394281183e-02,1.716170294208980984e-02,8.628056534020288326e-03,5.123534620308469421e-03,5.470052881341735691e-04,2.090474959727554524e-04,8.479230663355694900e-05,4.463005628961458251e-05,2.585163463959531298e-04,1.038578536185474753e-04,4.616766079574766276e-05,2.611833430000753668e-05,2.345422607097601955e-04,9.941874617241030707e-05,4.627582956470380231e-05,2.680916160682104149e-05
4.109999999999999765e-01,8.051768963094396714e-02,4.992600577805668405e-02,2.859263378694434227e-02,1.804808777681465165e-02,4.254246102142068137e-02,2.329736421643967617e-02,1.224525048375040177e-02,7.399028116616789344e-03,2.854336668443664682e-02,1.493279586949515167e-02,7.661133558511222172e-03,4.584085376218039257e-03,1.831358858832730085e-01,8.442423215315296436e-02,3.795428880201769800e-02,2.114950974336209794e-02,5.795519170356629862e-02,2.875299566842887469e-02,1.399050244868721253e-02,8.179104010361109081e-03,3.330764371332510521e-02,1.715618330203327532e-02,8.628432887903098383e-03,5.124514251946536703e-03,5.476794134431128879e-04,2.091985722162191899e-04,8.485107839148043187e-05,4.467439544159435228e-05,2.597695792288927407e-04,1.044258441185590857e-04,4.643732540249385969e-05,2.627619312462394239e-05,2.362087150328550137e-04,1.002520488956979306e-04,4.669137610737287718e-05,2.705606564619800086e-05
4.119999999999999774e-01,8.063898566378080446e-02,4.997330002547127614e-02,2.860686952294342472e-02,1.805239768443249807e-02,4.257718649450417669e-02,2.330556089927683996e-02,1.224625242927203546e-02,7.398735707616097695e-03,2.855597653735501840e-02,1.493377840903788514e-02,7.660175977304235773e-03,4.583152408881779188e-03,1.828537992494724262e-01,8.436158861763075334e-02,3.794031388190406001e-02,2.114591931783435866e-02,5.786087154305698255e-02,2.873288324932571705e-02,1.398780482736012958e-02,8.179204591515148309e-03,3.327242666160715873e-02,1.714995643307100012e-02,8.628657832552406870e-03,5.125419609482376876e-03,5.482001435585117472e-04,2.093366182875522493e-04,8.491796663667192460e-05,4.472237776989354936e-05,2.608845282579017955e-04,1.049451207007600072e-04,4.668880696528526108e-05,2.642483727574331169e-05,2.377242284160751196e-04,1.010294340236556499e-04,4.708288384423994381e-05,2.728954036900490559e-05
4.129999999999999782e-01,8.074413463454530038e-02,5.001425800802133947e-02,2.861920904010403777e-02,1.805614470955745413e-02,4.260747557974350203e-02,2.331265775485289599e-02,1.224708194430405329e-02,7.398445826678635290e-03,2.856687280400079659e-02,1.493452693178861854e-02,7.659264691082023901e-03,4.582284835522533809e-03,1.826202458815404939e-01,8.430790766550688708e-02,3.792822636886693244e-02,2.114284647966259770e-02,5.778427425795468891e-02,2.871624470694945919e-02,1.398563306094352358e-02,8.179372163070791971e-03,3.324535438498363304e-02,1.714536623070572405e-02,8.629082507271023522e-03,5.126311231805780882e-03,5.486648083586326665e-04,2.095227110905359999e-04,8.500543823186331761e-05,4.477526506739814969e-05,2.618540107836954465e-04,1.054209000550587397e-04,4.692381945702993345e-05,2.656422948825354994e-05,2.390685785995293406e-04,1.017429705762127321e-04,4.744705273620342659e-05,2.750765764958847961e-05
4.139999999999999791e-01,8.083186887977805712e-02,5.004844430171247194e-02,2.862953369800724096e-02,1.805929622970017107e-02,4.263303205767832171e-02,2.331859268262035864e-02,1.224773557735126840e-02,7.398163382115342107e-03,2.857595721314715176e-02,1.493503435401771773e-02,7.658408273753070789e-03,4.581490722473552032e-03,1.823846716404419754e-01,8.426241400827295946e-02,3.791907840518821821e-02,2.114065792017751771e-02,5.770422880719799918e-02,2.870034904462318362e-02,1.398375039657290785e-02,8.179585605074984542e-03,3.321509838339602172e-02,1.714040595830816638e-02,8.629404187779882163e-03,5.127127534726050317e-03,5.492222181919115135e-04,2.097489092809427748e-04,8.509391516165426908e-05,4.482499894331619860e-05,2.627050404852769821e-04,1.058574718267535705e-04,4.714063315181862542e-05,2.669285595383329539e-05,2.402274423563901000e-04,1.023857814996600324e-04,4.778014499494244411e-05,2.770822632473220608e-05
4.149999999999999800e-01,8.090102006608512752e-02,5.007532727063970790e-02,2.863767718980360366e-02,1.806180431263914102e-02,4.265356083385819091e-02,2.332329777676934307e-02,1.224820707097490705e-02,7.397892298954331439e-03,2.858312101699155700e-02,1.493529183639180635e-02,7.657615093586398608e-03,4.580778098107745645e-03,1.821968940752998201e-01,8.422666503275466621e-02,3.791211298311997213e-02,2.113907660337161279e-02,5.764131810690025642e-02,2.868802301881832190e-02,1.398243245535585669e-02,8.179869570319573888e-03,3.319241494235446871e-02,1.713702870396745931e-02,8.629912289946788800e-03,5.127917224301513192e-03,5.497390803708550886e-04,2.100207332955629958e-04,8.519331476821604494e-05,4.487479441300323921e-05,2.634234713258087196e-04,1.062533877905621815e-04,4.733782730318166041e-05,2.680953082876852162e-05,2.411916834105694296e-04,1.029534471490548182e-04,4.807926215808721552e-05,2.788930165178524963e-05
