wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_24_Deff_2,a_Ci_24_Deff_6,a_Ci_24_Deff_12,a_Ci_24_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_24_Deff_2,b_Ci_24_Deff_6,b_Ci_24_Deff_12,b_Ci_24_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_24_Deff_2,bb_Ci_24_Deff_6,bb_Ci_24_Deff_12,bb_Ci_24_Deff_24
4.000000000000000222e-01,1.208223432949426246e-01,7.455313926108139699e-02,4.751701629821784845e-02,2.784520279049966518e-02,8.273583035494987137e-02,4.083910855578265497e-02,2.285929270972112543e-02,1.217212383774965781e-02,6.341571455490942200e-02,2.789950262169104550e-02,1.484110862370162376e-02,7.678612445630922378e-03,3.425841792148333065e-01,1.919299023099164947e-01,8.747903474664804613e-02,3.881396097733132156e-02,1.131838069842634603e-01,6.077977263165629251e-02,2.955294282905257530e-02,1.414077307807414322e-02,6.605837066629637044e-02,3.430880625556330388e-02,1.740119100805209013e-02,8.644878421972906207e-03,2.102786254464879007e-03,5.519925171769967135e-04,2.114694078308440920e-04,8.479913870681449303e-05,9.373321046676467592e-04,2.310292861305681322e-04,9.157563615350346761e-05,4.006595740156295983e-05,7.673665276476729618e-04,1.912761672039717405e-04,7.938012090411544340e-05,3.638800861957473094e-05
4.010000000000000231e-01,1.210378913964841874e-01,7.464002801216282346e-02,4.755284187905405024e-02,2.785669864889287611e-02,8.286504683347192812e-02,4.086936245927950961e-02,2.286755364028579540e-02,1.217365809775464852e-02,6.349613083618882436e-02,2.791172189158056677e-02,1.484296597164983661e-02,7.678286876244139192e-03,3.443064921752784224e-01,1.920260638587505675e-01,8.743660435299842326e-02,3.879737888521542916e-02,1.137347112866829157e-01,6.083327843224090037e-02,2.955062555156256349e-02,1.413900679821388992e-02,6.635747349762036174e-02,3.435059366520270413e-02,1.740685651667558259e-02,8.646185283736167182e-03,2.101222632586401042e-03,5.516858917142604835e-04,2.113386316470361231e-04,8.477996013031144698e-05,9.391864297367001667e-04,2.317798297701812945e-04,9.188122578172600789e-05,4.021016251022157764e-05,7.706868763400294333e-04,1.924681036666276920e-04,7.988660080854692971e-05,3.662465219882154045e-05
4.020000000000000240e-01,1.213095760554391278e-01,7.475202453880230857e-02,4.759919486540589717e-02,2.787154948470718652e-02,8.302366095030869197e-02,4.090719835184123548e-02,2.287788407942773286e-02,1.217558074849505595e-02,6.359398646098814167e-02,2.792695337735009997e-02,1.484535469045887221e-02,7.677947857806293949e-03,3.430648223166286037e-01,1.917708341995999488e-01,8.738185571003173613e-02,3.878433552883397972e-02,1.133520239402496799e-01,6.073242199078823095e-02,2.952913361909822662e-02,1.413568228180038522e-02,6.619648421562447649e-02,3.430602900348404122e-02,1.739815308606047425e-02,8.645618775180058044e-03,2.103402454991723427e-03,5.521769603949605327e-04,2.114609722005991710e-04,8.482926809840237576e-05,9.425841532948510968e-04,2.328230851486094125e-04,9.227451826039704532e-05,4.038399639439378751e-05,7.751099348363597527e-04,1.939109870396744592e-04,8.048055448405630095e-05,3.689735811503381179e-05
4.030000000000000249e-01,1.216360876112915212e-01,7.488535476705693306e-02,4.765434701417053942e-02,2.788920583469516046e-02,8.320901333926443433e-02,4.095111609946944925e-02,2.288981976699496629e-02,1.217779225914248677e-02,6.370721994856427817e-02,2.794455507106781422e-02,1.484812548830834883e-02,7.677579613393048508e-03,3.427429045952574693e-01,1.915908504569641124e-01,8.731575753371753623e-02,3.876554907755061508e-02,1.132583302367374395e-01,6.066933122251268878e-02,2.951003802856994040e-02,1.413207471592154395e-02,6.618278349644467207e-02,3.428503908983369930e-02,1.739290108173851407e-02,8.645527299179771308e-03,2.104495971343141401e-03,5.524596180153032573e-04,2.115157975185352713e-04,8.485811030738435402e-05,9.459289942863471174e-04,2.338821132604050775e-04,9.269124688914568084e-05,4.057305587214858183e-05,7.798463963996765929e-04,1.954577219192269355e-04,8.112877136491611417e-05,3.719777986954124938e-05
4.040000000000000258e-01,1.220034907495159970e-01,7.503581272773759969e-02,4.771657155095454517e-02,2.790909569181326821e-02,8.341514645223420399e-02,4.100002072955863386e-02,2.290306293179726269e-02,1.218023323261570139e-02,6.383275015632031146e-02,2.796413251113390869e-02,1.485121047131924069e-02,7.677184439025574667e-03,3.414257618126885219e-01,1.912818153955815059e-01,8.724072351819642246e-02,3.874653947093038842e-02,1.128525463499752274e-01,6.055153082531862518e-02,2.948342499724085700e-02,1.412771433717348833e-02,6.601727684906655291e-02,3.423437456965206654e-02,1.738256084646688446e-02,8.644782481468901367e-03,2.106668450874259711e-03,5.530095374554120204e-04,2.116636859849401397e-04,8.491456039232624618e-05,9.497308027295136949e-04,2.350741164307307990e-04,9.316119946772626970e-05,4.078272726248428773e-05,7.849487138949060201e-04,1.971375186758071176e-04,8.183719016565950107e-05,3.752522883965619938e-05
4.050000000000000266e-01,1.224053108402676227e-01,7.519961950994127897e-02,4.778425310040526619e-02,2.793069670811781924e-02,8.363797043192396086e-02,4.105260955762909947e-02,2.291723792660206593e-02,1.218282600141575543e-02,6.396798543694172390e-02,2.798517024530077640e-02,1.485450809587680887e-02,7.676757584525732703e-03,3.406585158806266778e-01,1.910168780161423385e-01,8.715853706636969567e-02,3.872401372275389997e-02,1.126201223981950911e-01,6.045642306795864784e-02,2.945829183629570386e-02,1.412320752297444200e-02,6.594028514266271623e-02,3.419792628049155014e-02,1.737433246746843823e-02,8.644342174677816654e-03,2.108104338208034896e-03,5.533082290350977133e-04,2.117227584304524370e-04,8.495116375414490820e-05,9.533068313467359285e-04,2.362477964121528632e-04,9.364386526133893494e-05,4.100363743297378227e-05,7.899874856116679807e-04,1.988479852335299210e-04,8.257836123301760031e-05,3.787228827464003878e-05
4.060000000000000275e-01,1.228295662760029994e-01,7.537274420395359553e-02,4.785579194754378818e-02,2.795349868372098978e-02,8.387203773448718980e-02,4.110781957440400730e-02,2.293208004169112330e-02,1.218552431060949785e-02,6.411000912784230177e-02,2.800730081852121495e-02,1.485797284755328157e-02,7.676309168616271203e-03,3.393011842834643965e-01,1.906750092374790706e-01,8.707122598953288828e-02,3.870147270019462515e-02,1.122043203090579561e-01,6.032914264083023143e-02,2.942877040409831030e-02,1.411827835669340718e-02,6.577446725716919185e-02,3.414411559185309003e-02,1.736312790639242543e-02,8.643523967329065985e-03,2.110109832428082831e-03,5.536160515138365381e-04,2.117092710261656507e-04,8.496286813373941959e-05,9.569261388571667377e-04,2.374290379759805617e-04,9.412758216507324403e-05,4.122937022972882678e-05,7.949228828550474130e-04,2.005614612984328354e-04,8.333318446153911165e-05,3.823129129062946210e-05
4.069999999999999729e-01,1.232689806040321301e-01,7.555110017678509648e-02,4.792937227816021495e-02,2.797692266351164275e-02,8.411299278066852736e-02,4.116435006409095015e-02,2.294722171647034167e-02,1.218825699740105732e-02,6.425605565970547717e-02,2.802998966365610745e-02,1.486150461205601805e-02,7.675837265049119396e-03,3.383435278133509194e-01,1.903705667986334837e-01,8.698114653189661927e-02,3.867712243456957605e-02,1.119150521030826129e-01,6.022014663237453685e-02,2.940094151846184625e-02,1.411337950143760032e-02,6.567263334320737334e-02,3.410128743927889894e-02,1.735366758250448879e-02,8.642961132523982459e-03,2.111606255869452175e-03,5.539747799980336562e-04,2.116838273535647538e-04,8.495993788056975385e-05,9.602093219640130215e-04,2.385649905558883733e-04,9.459333923207384888e-05,4.145143391654462257e-05,7.995206684199412115e-04,2.022209791443735707e-04,8.407885608473285137e-05,3.859345279645647216e-05
4.079999999999999738e-01,1.237128182801472409e-01,7.573091953592250847e-02,4.800338845120624698e-02,2.800044060696718629e-02,8.435574870114061208e-02,4.122107045374406864e-02,2.296232367691754955e-02,1.219094878804732017e-02,6.440327488445146686e-02,2.805277625183023177e-02,1.486500410848599213e-02,7.675334669014696742e-03,3.369773083863609187e-01,1.900172146244788751e-01,8.688999893250554107e-02,3.865359880708292561e-02,1.115001973761438753e-01,6.009059425490069495e-02,2.937071524225453450e-02,1.410834624734115701e-02,6.550966144452385898e-02,3.404717224410791498e-02,1.734237504839236665e-02,8.642175785658012810e-03,2.113405586330266948e-03,5.548905240701738082e-04,2.119377037627345447e-04,8.504570720675689731e-05,9.633369868137310653e-04,2.397749916188274136e-04,9.510274966046540328e-05,4.168979256535373305e-05,8.037550562501908843e-04,2.038644963213555132e-04,8.483347122906646147e-05,3.896282253238686439e-05
4.089999999999999747e-01,1.241538845417054504e-01,7.590913742530408514e-02,4.807665450965620257e-02,2.802368673471288679e-02,8.459607289499915250e-02,4.127686857549289767e-02,2.297709913908506721e-02,1.219355147202639406e-02,6.454889128914691188e-02,2.807512394826446739e-02,1.486836493993203348e-02,7.674796778752402196e-03,3.359330673691433566e-01,1.897004575744632437e-01,8.679947042855210015e-02,3.862950757748808556e-02,1.111875211751341130e-01,5.997812452857560761e-02,2.934270956616879047e-02,1.410353342657931497e-02,6.539739660108877251e-02,3.400279010145480785e-02,1.733279840927395496e-02,8.641648695196133337e-03,2.114546852725376121e-03,5.559563017104109149e-04,2.122857238839453715e-04,8.515682420353534591e-05,9.660591093805329663e-04,2.410185190284005151e-04,9.564465203814550328e-05,4.193936209003117571e-05,8.075310098445109526e-04,2.054954550454855149e-04,8.560155662486623079e-05,3.933886712567325530e-05
