wavelength,,Diatoms (pennate),Chlorophytes,Diatoms (centric),Cryptophytes,Cyanobacteria (blue),Cyanobacteria (red),Dinoflagellates,Eustigmatophytes,Haptophytes: Pavlovaceae,Pelagophytes,Prasinophytes,Prochlorococcus,Haptophytes: Prymnesiaceae,Raphidophytes,Rhodophytes,Synechococcus spp,Microcystis-like (vacuolate)
380,,0.021046,0.024000,0.016833,0.020000,0.022602,0.028250,0.020000,0.074217,0.023000,0.030000,0.012000,0.024997,0.023000,0.009000,0.039000,0.030262,0.050977
381,,0.021462,0.024030,0.017250,0.020155,0.022752,0.028400,0.020070,0.074634,0.023095,0.030295,0.012330,0.025414,0.023085,0.009080,0.039050,0.030678,0.051308
382,,0.021696,0.024060,0.017483,0.020310,0.022942,0.028590,0.020140,0.074867,0.023190,0.030590,0.012660,0.025647,0.023170,0.009160,0.039100,0.030912,0.051351
383,,0.022196,0.024090,0.017983,0.020465,0.023162,0.028810,0.020210,0.075367,0.023285,0.030885,0.012990,0.026147,0.023255,0.009240,0.039150,0.031412,0.051481
384,,0.022496,0.024120,0.018283,0.020620,0.023422,0.029070,0.020280,0.075667,0.023380,0.031180,0.013320,0.026447,0.023340,0.009320,0.039200,0.031712,0.051707
385,,0.022596,0.024150,0.018383,0.020775,0.023622,0.029270,0.020350,0.075767,0.023475,0.031475,0.013650,0.026547,0.023425,0.009400,0.039250,0.031812,0.051719
386,,0.022696,0.024180,0.018483,0.020930,0.023702,0.029350,0.020420,0.075867,0.023570,0.031770,0.013980,0.026647,0.023510,0.009480,0.039300,0.031912,0.051545
387,,0.022746,0.024210,0.018533,0.021085,0.023762,0.029410,0.020490,0.075917,0.023665,0.032065,0.014310,0.026697,0.023595,0.009560,0.039350,0.031962,0.051489
388,,0.022821,0.024240,0.018608,0.021240,0.023842,0.029490,0.020560,0.075992,0.023760,0.032360,0.014640,0.026772,0.023680,0.009640,0.039400,0.032037,0.051587
389,,0.022896,0.024270,0.018683,0.021395,0.024002,0.029650,0.020630,0.076067,0.023855,0.032655,0.014970,0.026847,0.023765,0.009720,0.039450,0.032112,0.051708
390,,0.022996,0.024300,0.018783,0.021550,0.024162,0.029810,0.020700,0.076167,0.023950,0.032950,0.015300,0.026947,0.023850,0.009800,0.039500,0.032212,0.051773
391,,0.023121,0.024330,0.018908,0.021705,0.024342,0.029990,0.020770,0.076292,0.024045,0.033245,0.015630,0.027072,0.023935,0.009880,0.039550,0.032337,0.051895
392,,0.023196,0.024360,0.018983,0.021860,0.024482,0.030130,0.020840,0.076367,0.024140,0.033540,0.015960,0.027147,0.024020,0.009960,0.039600,0.032412,0.052031
393,,0.023371,0.024390,0.019158,0.022015,0.024642,0.030290,0.020910,0.076542,0.024235,0.033835,0.016290,0.027322,0.024105,0.010040,0.039650,0.032587,0.051944
394,,0.023596,0.024420,0.019383,0.022170,0.024802,0.030450,0.020980,0.076767,0.024330,0.034130,0.016620,0.027547,0.024190,0.010120,0.039700,0.032812,0.051975
395,,0.023821,0.024450,0.019608,0.022325,0.025002,0.030650,0.021050,0.076992,0.024425,0.034425,0.016950,0.027772,0.024275,0.010200,0.039750,0.033037,0.052216
396,,0.024146,0.024480,0.019933,0.022480,0.025142,0.030790,0.021120,0.077317,0.024520,0.034720,0.017280,0.028097,0.024360,0.010280,0.039800,0.033362,0.052363
397,,0.024446,0.024510,0.020233,0.022635,0.025442,0.031090,0.021190,0.077617,0.024615,0.035015,0.017610,0.028397,0.024445,0.010360,0.039850,0.033662,0.052465
398,,0.024846,0.024540,0.020633,0.022790,0.025642,0.031290,0.021260,0.078017,0.024710,0.035310,0.017940,0.028797,0.024530,0.010440,0.039900,0.034062,0.052567
399,,0.025321,0.024570,0.021108,0.022945,0.025752,0.031400,0.021330,0.078492,0.024805,0.035605,0.018270,0.029272,0.024615,0.010520,0.039950,0.034537,0.052782
400,,0.025760,0.024663,0.021526,0.023144,0.025964,0.031789,0.021423,0.079102,0.024976,0.036030,0.018635,0.029822,0.024782,0.010581,0.039960,0.034951,0.053173
401,,0.026200,0.024757,0.021944,0.023344,0.026175,0.032179,0.021517,0.079711,0.025146,0.036456,0.019000,0.030371,0.024949,0.010642,0.039970,0.035365,0.053417
402,,0.026334,0.024969,0.022036,0.023590,0.026520,0.032789,0.021660,0.080268,0.025367,0.037015,0.019485,0.030757,0.025191,0.010717,0.040007,0.035584,0.053594
403,,0.026493,0.025206,0.022156,0.023831,0.026927,0.033384,0.021818,0.080922,0.025598,0.037604,0.020024,0.031201,0.025441,0.010793,0.040074,0.035946,0.053908
404,,0.026671,0.025463,0.022300,0.024067,0.027388,0.033970,0.021987,0.081658,0.025838,0.038216,0.020610,0.031699,0.025698,0.010871,0.040162,0.036428,0.054192
