wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_8_Deff_2,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_8_Deff_2,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_8_Deff_2,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24
4.000000000000000222e-01,1.309838329682274094e-01,7.859765602431456610e-02,4.917014580395212553e-02,2.836320062114302404e-02,8.773384022464769672e-02,4.199159136431895867e-02,2.316289670729741040e-02,1.222619040219133889e-02,6.626121616932423297e-02,2.834221039236956008e-02,1.491201423300115778e-02,7.672469878528494214e-03,3.344624212596526980e-01,1.863840560217506215e-01,8.538890212190611284e-02,3.820336881085018704e-02,1.106505202166858104e-01,5.899113444630481318e-02,2.901614332084367920e-02,1.403245417559766638e-02,6.557441796984919691e-02,3.365270749974193232e-02,1.722537431249062875e-02,8.625232101686874236e-03,2.089021790529985156e-03,5.410397124464748570e-04,2.074023608521922881e-04,8.402745703926853260e-05,9.888180609938655892e-04,2.435441771692266615e-04,9.753097631530259308e-05,4.320673781355717730e-05,8.475899782225280923e-04,2.133609443992291787e-04,8.984221042178996215e-05,4.165693698662761179e-05
4.010000000000000231e-01,1.311920953725073113e-01,7.867680413761796165e-02,4.920144969695774972e-02,2.837284893238450900e-02,8.785232827945581302e-02,4.201666433626431718e-02,2.316912580494307969e-02,1.222708627564053629e-02,6.633240739474551007e-02,2.835137094975626049e-02,1.491284422097845577e-02,7.671825464881341927e-03,3.361622715383514870e-01,1.864945871928830878e-01,8.535396111933632457e-02,3.818915865943060817e-02,1.111883218906169896e-01,5.905263400684848674e-02,2.901806357176432358e-02,1.403189959843347684e-02,6.586276557964677869e-02,3.369758162430473714e-02,1.723312188069870202e-02,8.627206651833342621e-03,2.087837873365659680e-03,5.409111883368027899e-04,2.073422776679549346e-04,8.403493474358468844e-05,9.912276514883909193e-04,2.444871471887149301e-04,9.791609805289791611e-05,4.338552096294434553e-05,8.514938382537777387e-04,2.147791183099564342e-04,9.045101184650351973e-05,4.194219008214128332e-05
4.020000000000000240e-01,1.315143843532039503e-01,7.880202285281304175e-02,4.925113242579240436e-02,2.838808401868515158e-02,8.802620709036895752e-02,4.205435822893181796e-02,2.317853371722461073e-02,1.222848902560761362e-02,6.643479838778551527e-02,2.836515945385637699e-02,1.491431072234444127e-02,7.671047422731570517e-03,3.349150735823281932e-01,1.862158860306980246e-01,8.529145763178452855e-02,3.817469864882092750e-02,1.108276625494258316e-01,5.895299792776342862e-02,2.899666541814866980e-02,1.402882586817795312e-02,6.572520681788224239e-02,3.365801871072339468e-02,1.722577685821401194e-02,8.627132820476083805e-03,2.090357391972405207e-03,5.415133551695879444e-04,2.075062596653264469e-04,8.410506718402198563e-05,9.955235991913119128e-04,2.458142748590655901e-04,9.843256590896959661e-05,4.361734893560018057e-05,8.570378166336675360e-04,2.166165536325018637e-04,9.122704116132631324e-05,4.230344838358150971e-05
4.030000000000000249e-01,1.319402149907272781e-01,7.896594981737614649e-02,4.931607593040254756e-02,2.840794518519739603e-02,8.824842642028120354e-02,4.210230278590245540e-02,2.319045511126313283e-02,1.223027157114015169e-02,6.656388358079083634e-02,2.838264624347962284e-02,1.491623687326203498e-02,7.670134364318244302e-03,3.345304928698686342e-01,1.859906339985152868e-01,8.521055221268900026e-02,3.815253191031259955e-02,1.107326737677222089e-01,5.888424414299920501e-02,2.897643895830624358e-02,1.402534328222687122e-02,6.572460073378173784e-02,3.363898420145681328e-02,1.722157452389983315e-02,8.627626034691571882e-03,2.091793166976467586e-03,5.418854481512667270e-04,2.076027535335992424e-04,8.415998737556106468e-05,1.000154403657377115e-03,2.472550371359858454e-04,9.901685742686666474e-05,4.388657544643210216e-05,8.634284552072356896e-04,2.187118843669818679e-04,9.212908282021887519e-05,4.272789281636817880e-05
4.040000000000000258e-01,1.324468390435203369e-01,7.916113055140741595e-02,4.939329705371926782e-02,2.843149341793443224e-02,8.850901520315279658e-02,4.215853892620848725e-02,2.320438276653005380e-02,1.223234409704088317e-02,6.671447930245844038e-02,2.840313712819261122e-02,1.491851919264603962e-02,7.669100902806667841e-03,3.331417700881841304e-01,1.856136549924896906e-01,8.511210968440509339e-02,3.812796434411761665e-02,1.103345766154157637e-01,5.875609457959424936e-02,2.894662402801078879e-02,1.402067755479369758e-02,6.558437714853768141e-02,3.359041058140989355e-02,1.721195055845334623e-02,8.627437673175936822e-03,2.094277335789824623e-03,5.425017387400459445e-04,2.077842096525930036e-04,8.424228184241843321e-05,1.005500304245599301e-03,2.489022399144617879e-04,9.968987732796510547e-05,4.419486199242476959e-05,8.705631403195193295e-04,2.210635699320499532e-04,9.315122101446432859e-05,4.320955096386697690e-05
4.050000000000000266e-01,1.330188445374205775e-01,7.938037319256152635e-02,4.947985659159190308e-02,2.845781591445725733e-02,8.879969270950428817e-02,4.222091685371363867e-02,2.321974273524752760e-02,1.223460175896428324e-02,6.688171065245526736e-02,2.842583859034907012e-02,1.492102998004910669e-02,7.667957017964747296e-03,3.322681724067016451e-01,1.852672158775226507e-01,8.500218998652198099e-02,3.809870937268587665e-02,1.100963724738116961e-01,5.864663111624832115e-02,2.891760349352159518e-02,1.401581111731462458e-02,6.552703790820804675e-02,3.355438406150634822e-02,1.720430829108926529e-02,8.627629456705955546e-03,2.096004478073853344e-03,5.428757085150149502e-04,2.078869904359940783e-04,8.431037912546613961e-05,1.010845123476262651e-03,2.505974075314315879e-04,1.004079803763517718e-04,4.453058688888502666e-05,8.779380938626370461e-04,2.235440484511409939e-04,9.425510830334790950e-05,4.373581234288017211e-05
4.060000000000000275e-01,1.336356452249981563e-01,7.961652206179647973e-02,4.957295982861856243e-02,2.848605521593792350e-02,8.911115396932921262e-02,4.228757855750011480e-02,2.323608348668856211e-02,1.223697351326795760e-02,6.706065111069260676e-02,2.845012326804045172e-02,1.492369948636989435e-02,7.666727672407981642e-03,3.308018496528916663e-01,1.848313112637927635e-01,8.488239071747971654e-02,3.806827549875218403e-02,1.096817211932613750e-01,5.850283839408269154e-02,2.888313120866546624e-02,1.401030556008259903e-02,6.538896894222694101e-02,3.350142130550506220e-02,1.719358392953761194e-02,8.627446893135486128e-03,2.098256289876637617e-03,5.432587460447967087e-04,2.079280961123144967e-04,8.435958657134111035e-05,1.016344531237463929e-03,2.523408232891871899e-04,1.011509034228427528e-04,4.488378248444779839e-05,8.853686209678332357e-04,2.260926864737467195e-04,9.540909858717708518e-05,4.429346462635992606e-05
4.069999999999999729e-01,1.342814105894623022e-01,7.986235288225157491e-02,4.966962273718693310e-02,2.851529997796622279e-02,8.943514081100241431e-02,4.235647361964578472e-02,2.325287431843530914e-02,1.223937035931728888e-02,6.724642427429600167e-02,2.847521615063496048e-02,1.492641214801572469e-02,7.665428018337428970e-03,3.297171702045280650e-01,1.844275273679882310e-01,8.475831665848175545e-02,3.803563879669098063e-02,1.093860257155336996e-01,5.837584973249887454e-02,2.885026831004352740e-02,1.400487174179510137e-02,6.531113847455730093e-02,3.345868882178987952e-02,1.718462683310218592e-02,8.627584836568323937e-03,2.099968826704579593e-03,5.436658860330359283e-04,2.079496322352779357e-04,8.439430305507123712e-05,1.021579472713567832e-03,2.540603094689965614e-04,1.018904131256605548e-04,4.524216284444058733e-05,8.925456584417398387e-04,2.286246395995546329e-04,9.657811974121635493e-05,4.486816879364214066e-05
4.079999999999999738e-01,1.349372361252585972e-01,8.011115737079657628e-02,4.976713415218955716e-02,2.854470872874713405e-02,8.976298541649624374e-02,4.242577369274051768e-02,2.326962649441037187e-02,1.224170339465903770e-02,6.743435113704872308e-02,2.850044016914275724e-02,1.492905880000732627e-02,7.664069747665581273e-03,3.282309094744133571e-01,1.839712987074685613e-01,8.463168520775726789e-02,3.800352221697736455e-02,1.089723190500342387e-01,5.822841422453550742e-02,2.881469787214816988e-02,1.399922838208694439e-02,6.517833899753318339e-02,3.340550952088594538e-02,1.717388781079593613e-02,8.627508215847571466e-03,2.101947653508033555e-03,5.445826082727423401e-04,2.082269464732574020e-04,8.451160815782428901e-05,1.026634096728089741e-03,2.558485043750213296e-04,1.026740346521910963e-04,4.561943423069379251e-05,8.993171558549630049e-04,2.311459403903988355e-04,9.776503648022623924e-05,4.545694002943334919e-05
4.089999999999999747e-01,1.355879278838184598e-01,8.035699333837795222e-02,4.986324653396465023e-02,2.857362192429044323e-02,9.008689889363501180e-02,4.249369655384729882e-02,2.328590764136291916e-02,1.224390993400889700e-02,6.761975929562054344e-02,2.852504568523388934e-02,1.493152140454939714e-02,7.662665740370729062e-03,3.270624984559771242e-01,1.835543764990247018e-01,8.450695910573652325e-02,3.797119074849546194e-02,1.086571939679362581e-01,5.809874069778515893e-02,2.878181621323686393e-02,1.399393289573515158e-02,6.509317869080243069e-02,3.336196403783792813e-02,1.716499843088432897e-02,8.627737714465254226e-03,2.103270262726672415e-03,5.456513667828464696e-04,2.086008993275357561e-04,8.465626872395757977e-05,1.031233195019735059e-03,2.576666572586107460e-04,1.034913740331572051e-04,4.600950745199582840e-05,9.055369687846545742e-04,2.336457675551963933e-04,9.896628346455063402e-05,4.605437429173942410e-05
