wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_8_Deff_2,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_8_Deff_2,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_8_Deff_2,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24
4.000000000000000222e-01,1.516979765570574124e-01,8.613060822945661776e-02,5.203693393648414767e-02,2.919808488827553561e-02,9.706834215065665572e-02,4.387383972285604367e-02,2.359813352078558857e-02,1.228079222102071780e-02,7.121283281877457960e-02,2.897298407051041025e-02,1.496881150110536407e-02,7.634518788314153398e-03,3.186459775055105470e-01,1.757733945134816733e-01,8.159463619336554396e-02,3.716852146704567594e-02,1.069038493052325844e-01,5.606436918379632123e-02,2.816766615205829050e-02,1.387988297869359455e-02,6.570778445650199417e-02,3.280842848237324610e-02,1.702201211153035743e-02,8.625971940606033672e-03,2.091207633354855416e-03,5.301088300179905913e-04,2.040597408269771620e-04,8.443329226529717850e-05,1.131413257358707212e-03,2.802192537338405332e-04,1.148253570441910192e-04,5.206241715653128679e-05,1.054676978191193028e-03,2.728225607242957553e-04,1.182830351182868244e-04,5.596403034193305560e-05
4.010000000000000231e-01,1.521940948703016661e-01,8.629877050239365133e-02,5.209785717570453167e-02,2.921507160398748026e-02,9.729539150257225655e-02,4.391384595528676632e-02,2.360601761179668620e-02,1.228102241238283356e-02,7.133265176543014674e-02,2.898423837917365326e-02,1.496814085693251931e-02,7.632574110316679011e-03,3.200707391590816298e-01,1.757634762109735460e-01,8.152286795589089308e-02,3.714521964376713004e-02,1.073685588720244416e-01,5.610124197759664560e-02,2.816642766815975404e-02,1.387981003627798172e-02,6.598284051688334262e-02,3.284778048811891338e-02,1.703098055719296303e-02,8.629354206262946497e-03,2.091245783229483263e-03,5.303035817191047250e-04,2.041464409662986797e-04,8.452281404937767202e-05,1.137579774963186829e-03,2.822704318299991064e-04,1.157118894305441661e-04,5.248475477442683158e-05,1.063355007406739270e-03,2.758171747315446955e-04,1.196437082928131197e-04,5.662322232090780068e-05
4.020000000000000240e-01,1.527250015093941649e-01,8.648036972932829358e-02,5.216354520093033353e-02,2.923332125371255058e-02,9.753759416219942580e-02,4.395676153424095400e-02,2.361445548122106247e-02,1.228126152840710618e-02,7.146054787286350296e-02,2.899627975825135734e-02,1.496742932330305531e-02,7.630504156095395049e-03,3.187491822776360451e-01,1.753939620959426848e-01,8.143046714511112394e-02,3.712450160357728263e-02,1.070514998469608015e-01,5.599812520979356723e-02,2.814373038369527569e-02,1.387719761999720892e-02,6.590339232848339834e-02,3.281859096962585348e-02,1.702693350167856084e-02,8.630736892605279584e-03,2.095026180573107081e-03,5.312522050059466415e-04,2.044570659234981711e-04,8.467153968850943424e-05,1.145216397658555506e-03,2.846284448628428926e-04,1.166933942247073242e-04,5.294182137508625288e-05,1.073066445844435713e-03,2.791152324398541210e-04,1.211160394915175023e-04,5.732959563188346202e-05
4.030000000000000249e-01,1.532912496966044591e-01,8.667258519541537476e-02,5.223283589997870791e-02,2.925250932213531441e-02,9.779351793068584431e-02,4.400176339000707454e-02,2.362322632996768229e-02,1.228147426911717008e-02,7.159523970610705279e-02,2.900884420072150777e-02,1.496663594229291627e-02,7.628316622941496566e-03,3.183015722624973898e-01,1.751212092754397820e-01,8.133757750561440569e-02,3.710110336473755599e-02,1.069877728667303490e-01,5.593679645677903517e-02,2.812698368312729208e-02,1.387530041690931276e-02,6.594347602424872890e-02,3.281148957486782619e-02,1.702720587964128007e-02,8.632919520619935366e-03,2.097879791516852471e-03,5.320605771265909814e-04,2.047429828430370985e-04,8.481821092027354281e-05,1.153008235769077293e-03,2.870599613090354029e-04,1.177196484342837141e-04,5.342256696023676553e-05,1.083229767533311219e-03,2.825767455849924402e-04,1.226676639016718883e-04,5.807456586945468070e-05
4.040000000000000258e-01,1.538819999758144763e-01,8.687306096297631175e-02,5.230490355289163507e-02,2.927239795599701627e-02,9.805966243360297874e-02,4.404844130416275816e-02,2.363225185882240550e-02,1.228165762368319154e-02,7.173556121909248351e-02,2.902189045462783001e-02,1.496578154800695323e-02,7.626032037480200837e-03,3.169423864230355159e-01,1.747234621227797269e-01,8.123572059019854019e-02,3.707806286986255889e-02,1.066680211279350254e-01,5.582865735186498535e-02,2.810290449249811320e-02,1.387254022935506710e-02,6.586933478181798696e-02,3.278217440238981317e-02,1.702330312486164884e-02,8.634504750108119159e-03,2.101777390877871288e-03,5.331564949234802531e-04,2.051299119482775208e-04,8.499457710846296677e-05,1.161186718810922709e-03,2.896382756068372594e-04,1.188091978337659779e-04,5.392954125759545669e-05,1.093626492286329209e-03,2.861923131097825678e-04,1.242951814887853328e-04,5.885509967554187978e-05
4.050000000000000266e-01,1.544930160880233494e-01,8.707929583886733771e-02,5.237881397255200744e-02,2.929272660853751015e-02,9.833360251583360412e-02,4.409618339823345723e-02,2.364139306996194609e-02,1.228179543282995057e-02,7.188006035030213015e-02,2.903527948410065951e-02,1.496486999896051023e-02,7.623668477171264418e-03,3.161079730179952585e-01,1.743845257429684492e-01,8.113391874725811581e-02,3.705353743547521589e-02,1.065007511742065843e-01,5.574605286458174380e-02,2.808257129777513503e-02,1.387026082809814445e-02,6.586691603947043838e-02,3.276624638118786487e-02,1.702205160902835190e-02,8.636590508376791597e-03,2.104920807003309805e-03,5.340857452610652152e-04,2.054763432101142822e-04,8.516697129208002689e-05,1.169102152313751444e-03,2.922151083326872422e-04,1.199246058558643235e-04,5.445403342782885491e-05,1.103820667546114237e-03,2.898357755068765493e-04,1.259637613066333351e-04,5.966152850793724681e-05
4.060000000000000275e-01,1.551151278525967347e-01,8.728903564814674554e-02,5.245383938086421727e-02,2.931330252827513139e-02,9.861215524340644079e-02,4.414461616260940968e-02,2.365060530242204043e-02,1.228189681680474758e-02,7.202755469145888378e-02,2.904900407121423916e-02,1.496394714035865006e-02,7.621254520690621745e-03,3.147362398478013579e-01,1.739719609582063564e-01,8.102712805929794537e-02,3.702936571573342550e-02,1.061841924641854229e-01,5.563628611349354103e-02,2.805801086835698135e-02,1.386749596018688364e-02,6.579794123150500829e-02,3.273740527496531161e-02,1.701836333380335117e-02,8.638326518634621351e-03,2.108481154470357236e-03,5.350471348570220087e-04,2.057864488302268210e-04,8.532830797806182917e-05,1.176811345909336811e-03,2.947724232092012475e-04,1.210442800275923704e-04,5.498742796332878395e-05,1.113551675736354192e-03,2.934405283396595752e-04,1.276451831377121233e-04,6.048390284573689624e-05
4.069999999999999729e-01,1.557432506440107889e-01,8.749960684312627079e-02,5.252895409388246006e-02,2.933384747141221105e-02,9.889257413716305567e-02,4.419309634197608055e-02,2.365975124230284762e-02,1.228195010970593165e-02,7.217629546496988346e-02,2.906285329947017743e-02,1.496300353410663989e-02,7.618807123449471141e-03,3.137448215636777227e-01,1.736060847363621595e-01,8.092203826362097396e-02,3.700456938785529060e-02,1.059777644885018105e-01,5.554598796964334978e-02,2.803649210109264781e-02,1.386514268499318761e-02,6.577984033361992944e-02,3.271833729435633109e-02,1.701662203050766445e-02,8.640417330776219845e-03,2.111420562673928854e-03,5.359953154152507148e-04,2.060661218443944663e-04,8.547302714398988211e-05,1.183971915256263815e-03,2.972372725718564162e-04,1.221399436643930234e-04,5.551915575285530326e-05,1.122606312578846872e-03,2.969316834477487058e-04,1.293106109889564979e-04,6.131190766519410023e-05
4.079999999999999738e-01,1.563692652398812055e-01,8.770873931694447845e-02,5.260328276967073113e-02,2.935410139409618674e-02,9.917177769297848278e-02,4.424110064551292631e-02,2.366869677111462650e-02,1.228193493553426073e-02,7.232488771560757757e-02,2.907666395012543231e-02,1.496202159698304876e-02,7.616337414124284277e-03,3.123813518618594465e-01,1.731922949049441163e-01,8.081516482403656998e-02,3.698054766179032643e-02,1.056686710397434920e-01,5.543787413559583821e-02,2.801237618928704987e-02,1.386252222436991192e-02,6.571542944472805181e-02,3.269059192450655266e-02,1.701325802997804074e-02,8.642263587742851638e-03,2.114496433034798988e-03,5.373601497967026757e-04,2.065547124900013660e-04,8.568547715278003257e-05,1.190632447421452380e-03,2.996925938935894205e-04,1.232519608148723554e-04,5.606086275641785716e-05,1.130826003794740920e-03,3.003221113801232797e-04,1.309658328311563106e-04,6.214489099398733726e-05
4.089999999999999747e-01,1.569882012829926232e-01,8.791456840754169333e-02,5.267625185292160173e-02,2.937393204620906279e-02,9.944695936185263263e-02,4.428800342699109466e-02,2.367730602659780942e-02,1.228183876149169240e-02,7.247135491391541728e-02,2.909010350033407188e-02,1.496094527489182785e-02,7.613849685541008300e-03,3.113213869799292821e-01,1.728202641972504949e-01,8.071148317923590443e-02,3.695653320751867560e-02,1.054466806226528330e-01,5.534646799470254591e-02,2.799112289201444170e-02,1.386031894036704806e-02,6.569024281208608873e-02,3.267088542112778216e-02,1.701153836238460115e-02,8.644393645665549020e-03,2.116865506701326189e-03,5.388624344747172494e-04,2.071358211638781618e-04,8.592517698394890079e-05,1.196647235242791294e-03,3.021436727436966306e-04,1.243889450594590912e-04,5.661354316100757365e-05,1.138232564009465523e-03,3.036431007281430367e-04,1.326228807703087019e-04,6.298355725161803545e-05
