wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_6,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_5_Deff_2,a_Ci_5_Deff_6,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_8_Deff_2,a_Ci_8_Deff_6,a_Ci_8_Deff_12,a_Ci_8_Deff_24,b_Ci_2_Deff_2,b_Ci_2_Deff_6,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_5_Deff_2,b_Ci_5_Deff_6,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_8_Deff_2,b_Ci_8_Deff_6,b_Ci_8_Deff_12,b_Ci_8_Deff_24,bb_Ci_2_Deff_2,bb_Ci_2_Deff_6,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_5_Deff_2,bb_Ci_5_Deff_6,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_8_Deff_2,bb_Ci_8_Deff_6,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24
4.000000000000000222e-01,1.456392859966932907e-01,8.402205310757693280e-02,5.126246426066094486e-02,2.898086410192576151e-02,9.445355886592837757e-02,4.338175031065862053e-02,2.349299145440067460e-02,1.227147156530575441e-02,6.987633954275437875e-02,2.882178404981110276e-02,1.496276718727400021e-02,7.648754337774043774e-03,3.231614935023027213e-01,1.787822464252054599e-01,8.264498548423585000e-02,3.744570209904966168e-02,1.078061435758165543e-01,5.682642870199114404e-02,2.838454080797184892e-02,1.391594474986312079e-02,6.552276100547924087e-02,3.299348296762654592e-02,1.706204427673134807e-02,8.620568272120798445e-03,2.086252665034616597e-03,5.317979291418819003e-04,2.043793072491440442e-04,8.404505691631981444e-05,1.084082384198025708e-03,2.678070921691155532e-04,1.089781529081355747e-04,4.909107805154286434e-05,9.875259552842670027e-04,2.531969570790890698e-04,1.088541512062475266e-04,5.121954974637774581e-05
4.010000000000000231e-01,1.462156606495380595e-01,8.422478601527977338e-02,5.133790566075840944e-02,2.900246838452734399e-02,9.472390623197463055e-02,4.343259090182581550e-02,2.350390978564992350e-02,1.227234828553704429e-02,7.002199225592278808e-02,2.883754451722954359e-02,1.496301589110473826e-02,7.646902468504128414e-03,3.245398316607433498e-01,1.787225921701536269e-01,8.255346257914064623e-02,3.741670548623382553e-02,1.082605325506981742e-01,5.684696980232445407e-02,2.837743829099661358e-02,1.391449749937330449e-02,6.580135118922833537e-02,3.302760446914174836e-02,1.706904519573865589e-02,8.623540869702225886e-03,2.085882065040604253e-03,5.317933900993321999e-04,2.043887306633045001e-04,8.411032722962601116e-05,1.090194332066756529e-03,2.697954269654715786e-04,1.098404569479999245e-04,4.950485415294867336e-05,9.963565838518196466e-04,2.561605937230329371e-04,1.101986119559622811e-04,5.187150382993736380e-05
4.020000000000000240e-01,1.468149353000650637e-01,8.443704428119025440e-02,5.141674297497429713e-02,2.902496877955100529e-02,9.500448325243490699e-02,4.348550635692621097e-02,2.351522022370334045e-02,1.227322785238298478e-02,7.017321527589537311e-02,2.885386012824646407e-02,1.496323168612980967e-02,7.644958888946911182e-03,3.231403084551427440e-01,1.783129000728275737e-01,8.244611195014901750e-02,3.739142510667582686e-02,1.079073995081676340e-01,5.672663341387843700e-02,2.834985617307425251e-02,1.391081348592250813e-02,6.570637072240095855e-02,3.299037598526197157e-02,1.706282591844746413e-02,8.624513608569807713e-03,2.089276222914271831e-03,5.325669289876272181e-04,2.046326016559512175e-04,8.423697786584581713e-05,1.097701963435182950e-03,2.720640239844942707e-04,1.107849560541419431e-04,4.994658511903662273e-05,1.006101346829561295e-03,2.593788397737825722e-04,1.116315077110299585e-04,5.255919513294433118e-05
4.030000000000000249e-01,1.474399920582173396e-01,8.465679128104366957e-02,5.149808035605181467e-02,2.904811042492023987e-02,9.529486212217669339e-02,4.353980753426882344e-02,2.352672242865828933e-02,1.227407352421947678e-02,7.032926591564012120e-02,2.887049241633896091e-02,1.496336644554432591e-02,7.642923857869696538e-03,3.226348771253891301e-01,1.780031789430655820e-01,8.233885152645857575e-02,3.736364240363480860e-02,1.078176548985073369e-01,5.664985694678378869e-02,2.832831628270018887e-02,1.390780688693324385e-02,6.573651785259079783e-02,3.297645676954320815e-02,1.706104758964882909e-02,8.626264849994179015e-03,2.091717147728571445e-03,5.331991835651396939e-04,2.048487893716345598e-04,8.435920886927607873e-05,1.105252160815363123e-03,2.743770321779838211e-04,1.117614645022052571e-04,5.040583186374172507e-05,1.016163546440144051e-03,2.627189898508967250e-04,1.131241877872457650e-04,5.327590087755802511e-05
4.040000000000000258e-01,1.480820099041381677e-01,8.488231035568830074e-02,5.158131262758169910e-02,2.907171186929691925e-02,9.559228163681642021e-02,4.359521938030281457e-02,2.353836347134101101e-02,1.227488235387078422e-02,7.048926884610595689e-02,2.888742800578179143e-02,1.496343675810470064e-02,7.640811251782633762e-03,3.212103480219908880e-01,1.775732011768581253e-01,8.222475519691191392e-02,3.733673769886753507e-02,1.074641885043697703e-01,5.652638331137303102e-02,2.829986412108991337e-02,1.390405032577295488e-02,6.564630018079697926e-02,3.293952510321154770e-02,1.705504111616856083e-02,8.627411389453210760e-03,2.095221271347248032e-03,5.341270014765647648e-04,2.051684208590833804e-04,8.451121411285008082e-05,1.113149357946555335e-03,2.768203465901442214e-04,1.127925487089541010e-04,5.088666797636589120e-05,1.026403880045058045e-03,2.661864073841286715e-04,1.146785394366116469e-04,5.402077736798413976e-05
4.050000000000000266e-01,1.487389304187003991e-01,8.511181242447635187e-02,5.166574907678854467e-02,2.909557568837529973e-02,9.589519513465859235e-02,4.365125459686076265e-02,2.355002370057120847e-02,1.227563656213856262e-02,7.065221841900708177e-02,2.890455169208509117e-02,1.496343919544982498e-02,7.638631613702659764e-03,3.203222840254264514e-01,1.772037748051171757e-01,8.211101210611042311e-02,3.730844742527100744e-02,1.072692399071848851e-01,5.642952690254333242e-02,2.827522569824086202e-02,1.390075674633800031e-02,6.563124210656258450e-02,3.291674986877226455e-02,1.705177345189715782e-02,8.629050409829799526e-03,2.097981131689454111e-03,5.348832449005798450e-04,2.054429090688596746e-04,8.465722342049800337e-05,1.120756047078394230e-03,2.792512368459105056e-04,1.138429912230427582e-04,5.138153682260201770e-05,1.036412415476668488e-03,2.696675199151924059e-04,1.162649536144743024e-04,5.478643509567210395e-05
4.060000000000000275e-01,1.494035759074394676e-01,8.534365498516355286e-02,5.175086993132498037e-02,2.911956247581522217e-02,9.620116536774606097e-02,4.370766141366222435e-02,2.356167935627825893e-02,1.227634430759627984e-02,7.081723598909181461e-02,2.892187891529797439e-02,1.496341397606104281e-02,7.636406632154845928e-03,3.188916972500887570e-01,1.767629847267324639e-01,8.199338665989362729e-02,3.728078808906014341e-02,1.069205691033584815e-01,5.630551167224628895e-02,2.824658997111444830e-02,1.389704398866794394e-02,6.554628853960056678e-02,3.288063421608824338e-02,1.704604971990600695e-02,8.630340900739377416e-03,2.101198346644779589e-03,5.356773827288740120e-04,2.056788180401354865e-04,8.479077682076241256e-05,1.128187837414587006e-03,2.816642923144951384e-04,1.148952144104855449e-04,5.188335511724557775e-05,1.045995604736480161e-03,2.731099522597381889e-04,1.178603460546230809e-04,5.556512201266239158e-05
4.069999999999999729e-01,1.500729320068339145e-01,8.557579995341935142e-02,5.183585272364236995e-02,2.914344376529206387e-02,9.650826342834989413e-02,4.376390973088983144e-02,2.357320868509142631e-02,1.227699147032062024e-02,7.098299995332713053e-02,2.893922523895752635e-02,1.496334549046057436e-02,7.634146121508355101e-03,3.178479914218320657e-01,1.763690314549483107e-01,8.187733308957821643e-02,3.725249756788171634e-02,1.066862003976942475e-01,5.620156955798725346e-02,2.822100361198599805e-02,1.389372793806020398e-02,6.551491671510614734e-02,3.285486727585019973e-02,1.704235240204538329e-02,8.631991267018570765e-03,2.103824238122089119e-03,5.364747040692658883e-04,2.058893951770490228e-04,8.490856310345588009e-05,1.135112784518402035e-03,2.839947011362161755e-04,1.159246343889682200e-04,5.238302386189604376e-05,1.054958936421680586e-03,2.764489570149739886e-04,1.194403948312414403e-04,5.634860974929757204e-05
4.079999999999999738e-01,1.507408191504954753e-01,8.580658167353527599e-02,5.192002646208697392e-02,2.916701122042916761e-02,9.681413429380854307e-02,4.381959244556906524e-02,2.358449469129420342e-02,1.227755513950400633e-02,7.114843006826157557e-02,2.895645127349626147e-02,1.496320949963638597e-02,7.631853727622473632e-03,3.164265569831368197e-01,1.759273816180667582e-01,8.175984531388359733e-02,3.722507983817041621e-02,1.063459851568111375e-01,5.607958383456566193e-02,2.819292303372434791e-02,1.389018755159928016e-02,6.543526998783805171e-02,3.282014449314325788e-02,1.703703261561913263e-02,8.633409503989837586e-03,2.106631190615962552e-03,5.377164692135183400e-04,2.063223412169228749e-04,8.509830875688373885e-05,1.141621868823929466e-03,2.863360458508816216e-04,1.169772550762283972e-04,5.289468470380045159e-05,1.063192365506771464e-03,2.797089217365128391e-04,1.210164773984367899e-04,5.713886030075971550e-05
4.089999999999999747e-01,1.514042270097638587e-01,8.603475822386177918e-02,5.200302827724333221e-02,2.919018588697742250e-02,9.711676735525877346e-02,4.387420811417926808e-02,2.359542358955280320e-02,1.227802235271959440e-02,7.131198359353808913e-02,2.897326371446676957e-02,1.496294793853940319e-02,7.629527567339118924e-03,3.153113604227927858e-01,1.755259684067915493e-01,8.164490235063988355e-02,3.719753424681909032e-02,1.060959468442330272e-01,5.597450486231230621e-02,2.816764135474861611e-02,1.388704739446370955e-02,6.539729161392272838e-02,3.279391205483720567e-02,1.703343327073130603e-02,8.635129301607811711e-03,2.108754041395313403e-03,5.391008058507898914e-04,2.068496406241043806e-04,8.531588774637340706e-05,1.147566051693736135e-03,2.886908450952689132e-04,1.180610466837035135e-04,5.341969227359040626e-05,1.070717047544337500e-03,2.829239460619671306e-04,1.226034050044496194e-04,5.793844425083787160e-05
