wavelength,a_Ci_2_Deff_3,a_Ci_2_Deff_4,a_Ci_2_Deff_5,a_Ci_2_Deff_6,a_Ci_5_Deff_3,a_Ci_5_Deff_4,a_Ci_5_Deff_5,a_Ci_5_Deff_6,a_Ci_8_Deff_3,a_Ci_8_Deff_4,a_Ci_8_Deff_5,a_Ci_8_Deff_6,b_Ci_2_Deff_3,b_Ci_2_Deff_4,b_Ci_2_Deff_5,b_Ci_2_Deff_6,b_Ci_5_Deff_3,b_Ci_5_Deff_4,b_Ci_5_Deff_5,b_Ci_5_Deff_6,b_Ci_8_Deff_3,b_Ci_8_Deff_4,b_Ci_8_Deff_5,b_Ci_8_Deff_6,bb_Ci_2_Deff_3,bb_Ci_2_Deff_4,bb_Ci_2_Deff_5,bb_Ci_2_Deff_6,bb_Ci_5_Deff_3,bb_Ci_5_Deff_4,bb_Ci_5_Deff_5,bb_Ci_5_Deff_6,bb_Ci_8_Deff_3,bb_Ci_8_Deff_4,bb_Ci_8_Deff_5,bb_Ci_8_Deff_6
4.000000000000000222e-01,2.892124412176561021e-02,2.788768913660527593e-02,2.684284605213166364e-02,2.584871356976914392e-02,2.488263171211396729e-02,2.317998357208239657e-02,2.163958056890974424e-02,2.027061778605446229e-02,2.193261523065531682e-02,1.993086418440448426e-02,1.821525386622593889e-02,1.674898929994245167e-02,4.514555861504176426e-01,3.503064664857136190e-01,2.821839951180195039e-01,2.342438506575626467e-01,1.634836933486255584e-01,1.259095186603849670e-01,1.006147402420755621e-01,8.286925524599808579e-02,9.329918520400271031e-02,7.174162336341588508e-02,5.723211128226358968e-02,4.706500663891723113e-02,6.342203380809248968e-03,5.019660799940084232e-03,4.063166262728534241e-03,3.351540514413328849e-03,1.721377494528328507e-03,1.283994067164139592e-03,9.978189953570686110e-04,7.985748192305189546e-04,8.045592481702871016e-04,5.760377823502539716e-04,4.352807897346123609e-04,3.413643043497032424e-04
4.010000000000000231e-01,2.900805605322703817e-02,2.795659401504313468e-02,2.689809957770589177e-02,2.589371881342297788e-02,2.499878312175538020e-02,2.326042431975203217e-02,2.169447409280067518e-02,2.030777335201650047e-02,2.207158563944248975e-02,2.002340612138674147e-02,1.827572850344593575e-02,1.678782007512213265e-02,4.525553285901728895e-01,3.508534801226265709e-01,2.824777935453986477e-01,2.344126738809250987e-01,1.648595731164209655e-01,1.266266141654851518e-01,1.010238196277496725e-01,8.312266112921498640e-02,9.482530346453285630e-02,7.257304604270228832e-02,5.772407119874168463e-02,4.737957873172302797e-02,6.509455146695338097e-03,5.141938861595152406e-03,4.155081676359941717e-03,3.422665874889068392e-03,1.832685303168246063e-03,1.364939538265406765e-03,1.058277813041282782e-03,8.450137251439644422e-04,8.812387730939095359e-04,6.310295845546184338e-04,4.762083894051182768e-04,3.728207426576350399e-04
4.020000000000000240e-01,2.905331861885274147e-02,2.799621751881892218e-02,2.693487811168510104e-02,2.592874592481358986e-02,2.504024127810669520e-02,2.329754815756518438e-02,2.172710440957235922e-02,2.033646971889770116e-02,2.209955375510873343e-02,2.004803754767213453e-02,1.829730293239406613e-02,1.680670156680752481e-02,4.522369944927442376e-01,3.506970887787056457e-01,2.823837583140380025e-01,2.343468430350743592e-01,1.646779005018532971e-01,1.265259513859560425e-01,1.009601132609754537e-01,8.307806696332002694e-02,9.469283522978066969e-02,7.249426920521469253e-02,5.767194625152174958e-02,4.734231906365982123e-02,6.506556375826967782e-03,5.134407280849972305e-03,4.147421299214210794e-03,3.415876291361118373e-03,1.835321665319006919e-03,1.365993878969552332e-03,1.058803208519241241e-03,8.452981723908440824e-04,8.828116571662887819e-04,6.316223135934603133e-04,4.764708725148405393e-04,3.729460211531517434e-04
4.030000000000000249e-01,2.912322522018262472e-02,2.805261669452990825e-02,2.698134293634468772e-02,2.596839084290891719e-02,2.510704808607369665e-02,2.335057576377663757e-02,2.176893272601897189e-02,2.036971292422809499e-02,2.216170768027422855e-02,2.009244003115273625e-02,1.832926400622708618e-02,1.683001416605350159e-02,4.524128169990334070e-01,3.508087005821141080e-01,2.824521783755385429e-01,2.343883478970260614e-01,1.649978633576274223e-01,1.266870354467214965e-01,1.010473989654449428e-01,8.312871452420460272e-02,9.508880334007972779e-02,7.270343210923117805e-02,5.779159905271602504e-02,4.741622652272797084e-02,6.567715668035047430e-03,5.174746670607892167e-03,4.175829303357429280e-03,3.437019441589407327e-03,1.874982079334999588e-03,1.394079483086256652e-03,1.079653127913544420e-03,8.613461653180097457e-04,9.104879831319542902e-04,6.508677969853155941e-04,4.905826874234583664e-04,3.837159021867568012e-04
4.040000000000000258e-01,2.919749877035276997e-02,2.812058670944672656e-02,2.704053469184763969e-02,2.602002590875823751e-02,2.514416063505406362e-02,2.338706454644540189e-02,2.180322466533246573e-02,2.040114018540878371e-02,2.218585536375954070e-02,2.011308481654226765e-02,1.834722174097134367e-02,1.684578670034415915e-02,4.520768494233305401e-01,3.506756467730200444e-01,2.823975517801786128e-01,2.343650038116502077e-01,1.647999123420017531e-01,1.265708804288273315e-01,1.009708488740599236e-01,8.307383361944561950e-02,9.496009183919654206e-02,7.262694654449265708e-02,5.774084483756217884e-02,4.737977937898861513e-02,6.588481782225762660e-03,5.188798099668403413e-03,4.185947395766432405e-03,3.444631542957764334e-03,1.877353716107211731e-03,1.394692206396145077e-03,1.079859513027309724e-03,8.614811634429052475e-04,9.117297934307100338e-04,6.509293392025067553e-04,4.903268163675095302e-04,3.833965969030105666e-04
4.050000000000000266e-01,2.928279563852709266e-02,2.820812518229021126e-02,2.712147592077412961e-02,2.609212349965264743e-02,2.518767314246589395e-02,2.342268325119009620e-02,2.183314108307238266e-02,2.042665183787621686e-02,2.223077953005635210e-02,2.014572827090704843e-02,1.837139888868700305e-02,1.686410201150605886e-02,4.519291644508777739e-01,3.506058804809236706e-01,2.823642931785164123e-01,2.343486927117610363e-01,1.649019276963539227e-01,1.266099846100282311e-01,1.009826376784027924e-01,8.307375823432054662e-02,9.514443385248441687e-02,7.272194813439214478e-02,5.779321744502410180e-02,4.741069726898398257e-02,6.648622866656272654e-03,5.237406939899497647e-03,4.225552410773612648e-03,3.476884431778120167e-03,1.901447644814850940e-03,1.410515966770316135e-03,1.091051578986728136e-03,8.698274921291128435e-04,9.289586765105287136e-04,6.622666000869265523e-04,4.983384435508089001e-04,3.893653093852653146e-04
4.060000000000000275e-01,2.933915441996137741e-02,2.828092544415272691e-02,2.720140270218907030e-02,2.617221677012740444e-02,2.521676313276136061e-02,2.344612740883064705e-02,2.185386731908627034e-02,2.044581594759803389e-02,2.226562842516482954e-02,2.017515078509331261e-02,1.839652225281663417e-02,1.688577110305484325e-02,4.513279428345152722e-01,3.502171960067692047e-01,2.820952995756564330e-01,2.341531676524702121e-01,1.646970132531785092e-01,1.264835496010136562e-01,1.008947120141420045e-01,8.300774201807313568e-02,9.501403561762682137e-02,7.264499665834193987e-02,5.774231374822392376e-02,4.737412985016684758e-02,6.659600164246411505e-03,5.247595749915833288e-03,4.236734190166640060e-03,3.488396752508711538e-03,1.902342451171226906e-03,1.408764070183511630e-03,1.088729871287809998e-03,8.676161741112740997e-04,9.302232145186223626e-04,6.620346134282296914e-04,4.976712050484889162e-04,3.886320402554651146e-04
4.069999999999999729e-01,2.933623762106801758e-02,2.827782606951356748e-02,2.720729166971691537e-02,2.618741168708402234e-02,2.526353310940820940e-02,2.348144717622893674e-02,2.188164853928752096e-02,2.046859328268699207e-02,2.231752035771925047e-02,2.021591020119058169e-02,1.842895676597114396e-02,1.691198468387963144e-02,4.509314252405308143e-01,3.498845937828239938e-01,2.818139590310544396e-01,2.339161562907399461e-01,1.647294107503159410e-01,1.264916767720436763e-01,1.008910616653789644e-01,8.299883606862856755e-02,9.510628036445412103e-02,7.268958205087432123e-02,5.776415118450145547e-02,4.738478329063838118e-02,6.665059984990574435e-03,5.238836727353644515e-03,4.224905381138201015e-03,3.477377806583746653e-03,1.920525665106077385e-03,1.419483536817532730e-03,1.095506360307400883e-03,8.721909570358796996e-04,9.437101406897205639e-04,6.705155612580676909e-04,5.033779757837202658e-04,3.926945007009695820e-04
4.079999999999999738e-01,2.930856927352926133e-02,2.822310218132517701e-02,2.714539209831784428e-02,2.612848552225560672e-02,2.531565637952212788e-02,2.352935634477612559e-02,2.192468807144523635e-02,2.050697131757013569e-02,2.235706988414599972e-02,2.025059130149083064e-02,1.845915232485350471e-02,1.693825107822514997e-02,4.505185620306246808e-01,3.496160268132157412e-01,2.816081483558347531e-01,2.337460857955604432e-01,1.645724713984591525e-01,1.264113208154795109e-01,1.008430112561128078e-01,8.296601270843757814e-02,9.498050316464649867e-02,7.261610078406682822e-02,5.771565326138616142e-02,4.734982265329062967e-02,6.639431593931296831e-03,5.196460404180513679e-03,4.178487711962080263e-03,3.432541241457216525e-03,1.924880500326818511e-03,1.420656637717717351e-03,1.095232127271421069e-03,8.712531224751961104e-04,9.465493831393266685e-04,6.715656358440085742e-04,5.035837545539313198e-04,3.924910593433225941e-04
4.089999999999999747e-01,2.938078864888371555e-02,2.828067696451647128e-02,2.719085530286691199e-02,2.616610792414009179e-02,2.538642970329271775e-02,2.359465124678947201e-02,2.198300243495111828e-02,2.055830058744573252e-02,2.240599649652356973e-02,2.028934764327072759e-02,1.849022643676714872e-02,1.696356095969233507e-02,4.505341116745525398e-01,3.497185455178499769e-01,2.817209692704062962e-01,2.338474742980947152e-01,1.645828081585953562e-01,1.264186739953895855e-01,1.008457741013617376e-01,8.296539896776844447e-02,9.502222024324481764e-02,7.263221738497437074e-02,5.771968593669477010e-02,4.734836271978522942e-02,6.670883206425385313e-03,5.211765282651941063e-03,4.184192017289690285e-03,3.432796467394306095e-03,1.944346822023631464e-03,1.433670336558620336e-03,1.104191217356383353e-03,8.775721696289433445e-04,9.595016989571406203e-04,6.801646389729516188e-04,5.095386757526015799e-04,3.967595415165373952e-04
