wavelength,a_Ci_2_Deff_1,a_Ci_2_Deff_2,a_Ci_2_Deff_3,a_Ci_2_Deff_4,a_Ci_5_Deff_1,a_Ci_5_Deff_2,a_Ci_5_Deff_3,a_Ci_5_Deff_4,a_Ci_8_Deff_1,a_Ci_8_Deff_2,a_Ci_8_Deff_3,a_Ci_8_Deff_4,b_Ci_2_Deff_1,b_Ci_2_Deff_2,b_Ci_2_Deff_3,b_Ci_2_Deff_4,b_Ci_5_Deff_1,b_Ci_5_Deff_2,b_Ci_5_Deff_3,b_Ci_5_Deff_4,b_Ci_8_Deff_1,b_Ci_8_Deff_2,b_Ci_8_Deff_3,b_Ci_8_Deff_4,bb_Ci_2_Deff_1,bb_Ci_2_Deff_2,bb_Ci_2_Deff_3,bb_Ci_2_Deff_4,bb_Ci_5_Deff_1,bb_Ci_5_Deff_2,bb_Ci_5_Deff_3,bb_Ci_5_Deff_4,bb_Ci_8_Deff_1,bb_Ci_8_Deff_2,bb_Ci_8_Deff_3,bb_Ci_8_Deff_4
4.000000000000000222e-01,1.876750870580966013e-01,1.541980740465944133e-01,1.294193041353148832e-01,1.113357513920740227e-01,1.362504906182882281e-01,9.812008333024808959e-02,7.554376661368056300e-02,6.116421250259818088e-02,1.068663074101202787e-01,7.173856249163736154e-02,5.292215165644847952e-02,4.167145123346261554e-02,2.726924924631773939e-01,3.168112924803510033e-01,2.896956946088142804e-01,2.465349167463283808e-01,1.052164859342209213e-01,1.065775601957500568e-01,9.238346911307249165e-02,7.755831578538480153e-02,7.204262884001293166e-02,6.581744023696790846e-02,5.480222565112104205e-02,4.542564042570135935e-02,3.446897913748557703e-03,2.094339924162687966e-03,1.326325368261505001e-03,9.180864695373613894e-04,2.016147145845644841e-03,1.152407314931773626e-03,7.141524216090268948e-04,4.911730544975057055e-04,1.941828873323341422e-03,1.084116717138470989e-03,6.755701826558462974e-04,4.705736546962178751e-04
4.010000000000000231e-01,1.892701968371859333e-01,1.552679686334088038e-01,1.301841473923970871e-01,1.119108327998158126e-01,1.371572683695551076e-01,9.858221070705441846e-02,7.581154239043852439e-02,6.133412647045534405e-02,1.074205413333073622e-01,7.197318847890749050e-02,5.303835659766852756e-02,4.173523190877885536e-02,2.742667681025450777e-01,3.178101102050130966e-01,2.900104659267848106e-01,2.464645018956136691e-01,1.059351468663256163e-01,1.069696625005828183e-01,9.253888593676010133e-02,7.759916064345488695e-02,7.260857787756977433e-02,6.611928855597068444e-02,5.495242044246929219e-02,4.550394370594541826e-02,3.436909040562238608e-03,2.095431476474265021e-03,1.327479939923549047e-03,9.187533596111580351e-04,2.027816153937017207e-03,1.163864500989845877e-03,7.220889104799132130e-04,4.968793208644718034e-04,1.961319393350853188e-03,1.100072172991887641e-03,6.866981211217898073e-04,4.787621791688879318e-04
4.020000000000000240e-01,1.909710346034801942e-01,1.564127358702443460e-01,1.310032683825614330e-01,1.125265406554044334e-01,1.381205204669797015e-01,9.907336379493113243e-02,7.609586733686792004e-02,6.151425836239732270e-02,1.080086835192962530e-01,7.222161233862675611e-02,5.316098865663223400e-02,4.180226997874766232e-02,2.728083198502992412e-01,3.160570875643640698e-01,2.885176531742691952e-01,2.453172788065632048e-01,1.057366502932364366e-01,1.065932210765406091e-01,9.218171730833966959e-02,7.731281580602614167e-02,7.273584771030795759e-02,6.608075752828129756e-02,5.487909583447545675e-02,4.543729328722993094e-02,3.432479991207582157e-03,2.100446903857234888e-03,1.330939846731419305e-03,9.209192879717131765e-04,2.041489319783591164e-03,1.177332632542933515e-03,7.313157181585123274e-04,5.034499911105854179e-04,1.981890436857572293e-03,1.117762402236087112e-03,6.990789729111561565e-04,4.878556234609970053e-04
4.030000000000000249e-01,1.927720782532604815e-01,1.576207108792796463e-01,1.318648837814120345e-01,1.131726001097488887e-01,1.391312019629752372e-01,9.958665211072853518e-02,7.639184703533512255e-02,6.170113496369820927e-02,1.086218979054876521e-01,7.247968127775454572e-02,5.328774919570510027e-02,4.187117260400699537e-02,2.723316716689729300e-01,3.151553402154830263e-01,2.875569580013641602e-01,2.444681264440236590e-01,1.058584781908231826e-01,1.064678626312351717e-01,9.198525033228084624e-02,7.712590879061918814e-02,7.303481278250217867e-02,6.616391548274029588e-02,5.488282598517033040e-02,4.541984344994837164e-02,3.427987863320164016e-03,2.104746490036991241e-03,1.333935641124397780e-03,9.228224612606546803e-04,2.056509450848040526e-03,1.191450771715319400e-03,7.409640224190330903e-04,5.103422543365120296e-04,2.004161479712331453e-03,1.136510864929400535e-03,7.121950118301929606e-04,4.975082851955374549e-04
4.040000000000000258e-01,1.946352331381258627e-01,1.588695295773427385e-01,1.327543061607157626e-01,1.138384505373006839e-01,1.401709778828520436e-01,1.001136590465648291e-01,7.669488295347964835e-02,6.189191568183391445e-02,1.092510536796828524e-01,7.274382307883196785e-02,5.341695385122552375e-02,4.194103856558110965e-02,2.708609174072344472e-01,3.133464643250730153e-01,2.859953482085559884e-01,2.432569969297889712e-01,1.056899900852294877e-01,1.060979977240873728e-01,9.162541000845067507e-02,7.683452996849302052e-02,7.320052475999708208e-02,6.614259968606801821e-02,5.481812906556021714e-02,4.535822318832048727e-02,3.425466983512055925e-03,2.110261196947378539e-03,1.337712571248161854e-03,9.252839159023599743e-04,2.072311484707021773e-03,1.206327687083911778e-03,7.511578283294970257e-04,5.176478177838394383e-04,2.026723409395946637e-03,1.155934408832851425e-03,7.258798709743545085e-04,5.076246969987500881e-04
4.050000000000000266e-01,1.965431330761750472e-01,1.601439305491418330e-01,1.336592809872269583e-01,1.145144178946576052e-01,1.412279204137184552e-01,1.006473726517964351e-01,7.700061631581366084e-02,6.208374130494537235e-02,1.098875457904329861e-01,7.301032141362756578e-02,5.354675366980141127e-02,4.201085794870346862e-02,2.699849067057448759e-01,3.120589411157300708e-01,2.847648182665354910e-01,2.422355240329321369e-01,1.057156530456402066e-01,1.058829825845301886e-01,9.136674195152093281e-02,7.660710535903961227e-02,7.346873760438200895e-02,6.619520580302512558e-02,5.480115259994400301e-02,4.532759110481913295e-02,3.422594861079770144e-03,2.115183534384971684e-03,1.341164613668916188e-03,9.275381139712083342e-04,2.088400678573079476e-03,1.221219298568340141e-03,7.614060284977230151e-04,5.250358554325279580e-04,2.049523038368616153e-03,1.175455466914024317e-03,7.397038337274002440e-04,5.179004250127194203e-04
4.060000000000000275e-01,1.984635563564243754e-01,1.614244322372825891e-01,1.345667855766204402e-01,1.151911006818460703e-01,1.422863678804762444e-01,1.011805582196934616e-01,7.730512958454906214e-02,6.227424781315285540e-02,1.105233752373042250e-01,7.327614387227689152e-02,5.367580027026862266e-02,4.207997507711858098e-02,2.685327723177041714e-01,3.102527147583413192e-01,2.831952308310185518e-01,2.410131486518830024e-01,1.055742869131686967e-01,1.055314788369689505e-01,9.101900199893649124e-02,7.632384369506428623e-02,7.365873989996522819e-02,6.618893097426374605e-02,5.474666151282893412e-02,4.527321079520260638e-02,3.420412561463066856e-03,2.120626839205037081e-03,1.345035178299696038e-03,9.300599888429326740e-04,2.104171471678813361e-03,1.236031996834801834e-03,7.716702234142773292e-04,5.324626857176812441e-04,2.071377527636477159e-03,1.194619074009252565e-03,7.534093053197339282e-04,5.281535205091001869e-04
4.069999999999999729e-01,2.003776073753082976e-01,1.626961282912614548e-01,1.354653630853790425e-01,1.158595805258768319e-01,1.433347102904325709e-01,1.017067082744777667e-01,7.760450730006410169e-02,6.246092104121733768e-02,1.111506391140125588e-01,7.353781167187439793e-02,5.380236172355945534e-02,4.214744895800577595e-02,2.675139508343028494e-01,3.088384506810276098e-01,2.818844692565473098e-01,2.399466609636947412e-01,1.055701280872697601e-01,1.052945984206938995e-01,9.074918932736500410e-02,7.609162002281347204e-02,7.391669474998478762e-02,6.623442633530049473e-02,5.472681578043524231e-02,4.524189560725450088e-02,3.417545980775070231e-03,2.125530522738122794e-03,1.348776319900701296e-03,9.325782105879071261e-04,2.119327973502148528e-03,1.250308979885506825e-03,7.816588057669377268e-04,5.397343802324533176e-04,2.092272345972551444e-03,1.213055497737613271e-03,7.667199782321168543e-04,5.381818245918862983e-04
4.079999999999999738e-01,2.022565771044068095e-01,1.639417660491978013e-01,1.363435456565090242e-01,1.165115804092717866e-01,1.443591305632782040e-01,1.022194644762343257e-01,7.789529792137310504e-02,6.264165185084444309e-02,1.117622024904941502e-01,7.379254890038212944e-02,5.392514099131025945e-02,4.221259691154865407e-02,2.661024698605020111e-01,3.070828431302468076e-01,2.803591670015200266e-01,2.387594987377838485e-01,1.054487504060150072e-01,1.049681436240786497e-01,9.042399797808754747e-02,7.582636596296907228e-02,7.411517931632985445e-02,6.623890773808129018e-02,5.468221999992833177e-02,4.519550802302526454e-02,3.414633335148202411e-03,2.130592634050445123e-03,1.352936710411704619e-03,9.355724119373569131e-04,2.133327246430883044e-03,1.263940538745764869e-03,7.913687276285741225e-04,5.468806224436115410e-04,2.111261271702344778e-03,1.230408984403104280e-03,7.794740187231719367e-04,5.478964414605461521e-04
4.089999999999999747e-01,2.040818135400895295e-01,1.651476628451860051e-01,1.371913952849881380e-01,1.171397331278831444e-01,1.453488427883069256e-01,1.027129370687053789e-01,7.817404337186530106e-02,6.281426046278229536e-02,1.123508840594108354e-01,7.403703981515241672e-02,5.404241731818706929e-02,4.227443825186993215e-02,2.650366994420755851e-01,3.056542147210194460e-01,2.790602713721191397e-01,2.377162378534606046e-01,1.054299577673544486e-01,1.047337361154124236e-01,9.016455816904773990e-02,7.560589081074395312e-02,7.435846711449352331e-02,6.628146748426455570e-02,5.466457352951173410e-02,4.516767821962055368e-02,3.410802410208206483e-03,2.134959156828267028e-03,1.356924217768544320e-03,9.386129446595816968e-04,2.146091991158764149e-03,1.276679214885476782e-03,8.006577950958304038e-04,5.538270503949071144e-04,2.128542130060095700e-03,1.246568487532454710e-03,7.916004973306089293e-04,5.572603580504857049e-04
