wavelength,a_Ci_2_Deff_2,a_Ci_2_Deff_3,a_Ci_2_Deff_4,a_Ci_2_Deff_5,a_Ci_5_Deff_2,a_Ci_5_Deff_3,a_Ci_5_Deff_4,a_Ci_5_Deff_5,a_Ci_8_Deff_2,a_Ci_8_Deff_3,a_Ci_8_Deff_4,a_Ci_8_Deff_5,b_Ci_2_Deff_2,b_Ci_2_Deff_3,b_Ci_2_Deff_4,b_Ci_2_Deff_5,b_Ci_5_Deff_2,b_Ci_5_Deff_3,b_Ci_5_Deff_4,b_Ci_5_Deff_5,b_Ci_8_Deff_2,b_Ci_8_Deff_3,b_Ci_8_Deff_4,b_Ci_8_Deff_5,bb_Ci_2_Deff_2,bb_Ci_2_Deff_3,bb_Ci_2_Deff_4,bb_Ci_2_Deff_5,bb_Ci_5_Deff_2,bb_Ci_5_Deff_3,bb_Ci_5_Deff_4,bb_Ci_5_Deff_5,bb_Ci_8_Deff_2,bb_Ci_8_Deff_3,bb_Ci_8_Deff_4,bb_Ci_8_Deff_5
4.000000000000000222e-01,8.737476080429057435e-02,7.830784699175202812e-02,7.075435096310472849e-02,6.455640239575638484e-02,6.416636840898481964e-02,5.354049654377793233e-02,4.586275727717054052e-02,4.009795505742286270e-02,5.178014192444670150e-02,4.135147008578599070e-02,3.432951499986704180e-02,2.930693840362548486e-02,3.707128574143039867e-01,3.486432926531923826e-01,2.995520611061824323e-01,2.516706935820688940e-01,1.249297277516092652e-01,1.139056495681432801e-01,9.685895410265971117e-02,8.128273156888868312e-02,7.070211230166814631e-02,6.289475715213313500e-02,5.315476600670032692e-02,4.470351006835354690e-02,2.220417184535531958e-03,1.471390410676413170e-03,1.048973674883439417e-03,7.918185280603303941e-04,8.419967705024204588e-04,5.319329281279105070e-04,3.676826892863017363e-04,2.722540136839444254e-04,5.864618475189365765e-04,3.653881538216457070e-04,2.509702849101560595e-04,1.854902644768707841e-04
4.010000000000000231e-01,8.856009744558152041e-02,7.927101274396486374e-02,7.155621363963410309e-02,6.523689304038338133e-02,6.490944513462143517e-02,5.406522349353189150e-02,4.625328062220859793e-02,4.039946390090148887e-02,5.228223799598448462e-02,4.167249460728139621e-02,3.455014226185440518e-02,2.946628681052509274e-02,3.716753014961821089e-01,3.487949557135990863e-01,2.992347974111255193e-01,2.511622876281381922e-01,1.251028954748414079e-01,1.137871220788014143e-01,9.661730653086061937e-02,8.101472271057809371e-02,7.082015024749564736e-02,6.283994020525815460e-02,5.303523877622355609e-02,4.457261633660091621e-02,2.212562383499011576e-03,1.464782727347649968e-03,1.043270454234008484e-03,7.869991029364469416e-04,8.435008397022604812e-04,5.329469127925110265e-04,3.682853627934373699e-04,2.726388264352780822e-04,5.915427747823451829e-04,3.687809672189832125e-04,2.533420071238553671e-04,1.872667448175898254e-04
4.020000000000000240e-01,8.993306531631245493e-02,8.038605914042462608e-02,7.248366872609895983e-02,6.602316730339827244e-02,6.576126087393747988e-02,5.466540514624559921e-02,4.669889992900760900e-02,4.074273105959977381e-02,5.285416899722909789e-02,4.203699525513373420e-02,3.479985828362084505e-02,2.964611506911857264e-02,3.693801732065021826e-01,3.468131042037417844e-01,2.976814600139552902e-01,2.499526104658442438e-01,1.241429424168094403e-01,1.128990256774893008e-01,9.589780613318910074e-02,8.045154709867627374e-02,7.033696662338746741e-02,6.237193195455769529e-02,5.265070552149370836e-02,4.427131865875176542e-02,2.207828877580979895e-03,1.459779965335528985e-03,1.038560865769309330e-03,7.828754492565795711e-04,8.469053041207257916e-04,5.350640626280364631e-04,3.695999715193849290e-04,2.735249813941209498e-04,5.983662874892994258e-04,3.732323269016996460e-04,2.564171512143324999e-04,1.895501927086587631e-04
4.030000000000000249e-01,9.146903676030992969e-02,8.162935503968277162e-02,7.351526374172090428e-02,6.689604191551923318e-02,6.670242318667268799e-02,5.532526163183507095e-02,4.718690336342303004e-02,4.111743736826685425e-02,5.348138257787982131e-02,4.243440515587432182e-02,3.507083485162761777e-02,2.984047947646309429e-02,3.679713841799358565e-01,3.453261769964551253e-01,2.963461376514214263e-01,2.488123207685610239e-01,1.234779394716676026e-01,1.121759380378885562e-01,9.525699644252678955e-02,7.992069896853436217e-02,7.002112940461729940e-02,6.200032445201458797e-02,5.231737845789889013e-02,4.399645373283393723e-02,2.201697302841745460e-03,1.453791276470246937e-03,1.033150298733761076e-03,7.782187245040562583e-04,8.504141375665403733e-04,5.372230807864060778e-04,3.709602781994068561e-04,2.744621068673429938e-04,6.059268060596172860e-04,3.781392271576385035e-04,2.598239943014390985e-04,1.920963519242272258e-04
4.040000000000000258e-01,9.313094911502106665e-02,8.297108379398893119e-02,7.462617039713403955e-02,6.783430844786816905e-02,6.771010340655891913e-02,5.602862229308219755e-02,4.770512518392523715e-02,4.151406217875960869e-02,5.414817812917084583e-02,4.285455594538846447e-02,3.535596659262774805e-02,3.004415973108380544e-02,3.654438128245363626e-01,3.430813087653140081e-01,2.945513511049140942e-01,2.473958045748211598e-01,1.224321271896489927e-01,1.111861029877643514e-01,9.444493913397654372e-02,7.928033053487437698e-02,6.951246886243524215e-02,6.149283481667242035e-02,5.189498393426091732e-02,4.366317750542113296e-02,2.196526884111872115e-03,1.448337969205717697e-03,1.028067333618478242e-03,7.737838952052237531e-04,8.547906962544087484e-04,5.399267964906688099e-04,3.727025992568505056e-04,2.756879930552441475e-04,6.144950065142794089e-04,3.836965577906291630e-04,2.636952736326872979e-04,1.949987425070837230e-04
4.050000000000000266e-01,9.489087893496744863e-02,8.438686606430773063e-02,7.579527273710690016e-02,6.881959900413545106e-02,6.876513865142559745e-02,5.676102905148949773e-02,4.824241576683369059e-02,4.192380951814889123e-02,5.484104196169135859e-02,4.328828386921469012e-02,3.564874742377042299e-02,3.025235984451767751e-02,3.634507553979399175e-01,3.411368265741684391e-01,2.928913078261560221e-01,2.460251725843386750e-01,1.215733613689264220e-01,1.103055130314322674e-01,9.368928837614953764e-02,7.866722534664065403e-02,6.911409285749757492e-02,6.105271578716593012e-02,5.151153421682220374e-02,4.335253508692046148e-02,2.190708915855178133e-03,1.442486079544539560e-03,1.022621639505773023e-03,7.690044202118131523e-04,8.593272845513299889e-04,5.427501433178301979e-04,3.745395070167710830e-04,2.769925584880441618e-04,6.235988010680373721e-04,3.896151997084733938e-04,2.678402243268358991e-04,1.981226830740038386e-04
4.060000000000000275e-01,9.671635345248630333e-02,8.585073210752697248e-02,7.700101870420267280e-02,6.983359442789255356e-02,6.984786667125850168e-02,5.750877020889676172e-02,4.878863597567439925e-02,4.233888373839708730e-02,5.554687272508862517e-02,4.372732185441570441e-02,3.594354690401817265e-02,3.046104307782993015e-02,3.608095112979118335e-01,3.387555984344287063e-01,2.909692222835865150e-01,2.444998957244459703e-01,1.205074945403478981e-01,1.092833393621761157e-01,9.284523991164556067e-02,7.799945776470285086e-02,6.861706914865030316e-02,6.054586649354683214e-02,5.108616284141066777e-02,4.301561012578834775e-02,2.185692121788056132e-03,1.437280511457850445e-03,1.017566216872215412e-03,7.644183458563631869e-04,8.644309529232315501e-04,5.459704283342810271e-04,3.766489931483329306e-04,2.784885162355612643e-04,6.333069617147619014e-04,3.959519138886853401e-04,2.722879568909342368e-04,2.014777864051460086e-04
4.069999999999999729e-01,9.858111458302398766e-02,8.734059841325320095e-02,7.822459255399732969e-02,7.086006049331614043e-02,7.094151467564251135e-02,5.825968801693909294e-02,4.933465102827029602e-02,4.275221876758904249e-02,5.625438442189067967e-02,4.416435711158144678e-02,3.623534216435458921e-02,3.066660460145348432e-02,3.585789427417017672e-01,3.366217981080572019e-01,2.891743187459500652e-01,2.430347737761367199e-01,1.195947540635687173e-01,1.083603643939254624e-01,9.206045133852876206e-02,7.736706462652863381e-02,6.821117271779936209e-02,6.010049005398388627e-02,5.070042928213297495e-02,4.270460715914284333e-02,2.180494877307064937e-03,1.432357605230938488e-03,1.012882068397816162e-03,7.601751958991441070e-04,8.696626855761855528e-04,5.493578282749455840e-04,3.789120257364629487e-04,2.801126745006135696e-04,6.432954999431113232e-04,4.025195155608060692e-04,2.769235749533466968e-04,2.049868281654291299e-04
4.079999999999999738e-01,1.004563548991203037e-01,8.883396898884676762e-02,7.944771831108266014e-02,7.188372333465259389e-02,7.202964879276814447e-02,5.900270376122165872e-02,4.987247727181394474e-02,4.315779708474229426e-02,5.695311773281958034e-02,4.459306100289991276e-02,3.651995856869661577e-02,3.086612509042883923e-02,3.559265647163013524e-01,3.342154934062560034e-01,2.872258999317500727e-01,2.414875254618076839e-01,1.185598656147775348e-01,1.073611860860759215e-01,9.123324072428028175e-02,7.671218604277459108e-02,6.775089547392097733e-02,5.962308509004265317e-02,5.029764173758009133e-02,4.238497036646161897e-02,2.175980714906286615e-03,1.428402184794547343e-03,1.009212332513980542e-03,7.568975971158719120e-04,8.752402889127954911e-04,5.530958137765883001e-04,3.814928692982072424e-04,2.820167258790144530e-04,6.535385687708407040e-04,4.093376389598055447e-04,2.817812520238335968e-04,2.086887965735978597e-04
4.089999999999999747e-01,1.023180835719601500e-01,9.031143122015439229e-02,8.065449663309653960e-02,7.289135429689266865e-02,7.309830768216231400e-02,5.972822663048096836e-02,5.039522947154080612e-02,4.355050000850109460e-02,5.763415485305703467e-02,4.500797950050570984e-02,3.679382836738613605e-02,3.105715173538524387e-02,3.536319099118232501e-01,3.320439460195596659e-01,2.854148909043924820e-01,2.400200615700280038e-01,1.176641585832521736e-01,1.064614270189696565e-01,9.047206679832382747e-02,7.610143857243063803e-02,6.737164834699005400e-02,5.920537244189684467e-02,4.993641951175918636e-02,4.209441286760433332e-02,2.171180590640647487e-03,1.424652559635813812e-03,1.005914474515557820e-03,7.540277872341820268e-04,8.807972628287020567e-04,5.569434673400063852e-04,3.842250051235134587e-04,2.840781393048047790e-04,6.637780148179350326e-04,4.162516727001582960e-04,2.867659694940416569e-04,2.125213821335451782e-04
