wavelength,a_Ci_2_Deff_0_4,a_Ci_2_Deff_0_5,a_Ci_2_Deff_0_7,a_Ci_2_Deff_0_9,a_Ci_5_Deff_0_4,a_Ci_5_Deff_0_5,a_Ci_5_Deff_0_7,a_Ci_5_Deff_0_9,a_Ci_8_Deff_0_4,a_Ci_8_Deff_0_5,a_Ci_8_Deff_0_7,a_Ci_8_Deff_0_9,b_Ci_2_Deff_0_4,b_Ci_2_Deff_0_5,b_Ci_2_Deff_0_7,b_Ci_2_Deff_0_9,b_Ci_5_Deff_0_4,b_Ci_5_Deff_0_5,b_Ci_5_Deff_0_7,b_Ci_5_Deff_0_9,b_Ci_8_Deff_0_4,b_Ci_8_Deff_0_5,b_Ci_8_Deff_0_7,b_Ci_8_Deff_0_9,bb_Ci_2_Deff_0_4,bb_Ci_2_Deff_0_5,bb_Ci_2_Deff_0_7,bb_Ci_2_Deff_0_9,bb_Ci_5_Deff_0_4,bb_Ci_5_Deff_0_5,bb_Ci_5_Deff_0_7,bb_Ci_5_Deff_0_9,bb_Ci_8_Deff_0_4,bb_Ci_8_Deff_0_5,bb_Ci_8_Deff_0_7,bb_Ci_8_Deff_0_9
4.000000000000000222e-01,1.194638661038700533e-01,1.189056496753106706e-01,1.171725871447143186e-01,1.149353695014332377e-01,1.071769786512644096e-01,1.047104960033065357e-01,9.955805245083421129e-02,9.447547293147615100e-02,9.966423056768472510e-02,9.587127389673494315e-02,8.861570204208885082e-02,8.205110926584885389e-02,1.246796974787842405e-01,1.554508273834964982e-01,2.098554870933308225e-01,2.543576213607179892e-01,4.987682435815249393e-02,6.099638306792554143e-02,7.952022251080653747e-02,9.354486615527815574e-02,3.317907718046977233e-02,3.991856597015965707e-02,5.053293714164239225e-02,5.796686460624465159e-02,2.919196891617883028e-03,3.159778499563049587e-03,3.390549144390295807e-03,3.372687749086582341e-03,1.321390681098313143e-03,1.416178063640598792e-03,1.487836600631263885e-03,1.450530085915429073e-03,1.044455085290029502e-03,1.112335889579799683e-03,1.151912709693359363e-03,1.108832028440289970e-03
4.010000000000000231e-01,1.202474611166029772e-01,1.196733072905241113e-01,1.179042294444009875e-01,1.156291114023281774e-01,1.079160775528327509e-01,1.054087259584434583e-01,1.001794316435877519e-01,9.502910166356334787e-02,1.003311974804470263e-01,9.648329639730560126e-02,8.913227476163938789e-02,8.249049704495400870e-02,1.256473827287518386e-01,1.566129955995871903e-01,2.113206418005126874e-01,2.560231420351092302e-01,5.027220980669227374e-02,6.146021311945677745e-02,8.007951006384278481e-02,9.415462291079704227e-02,3.345656311704361952e-02,4.023784785795867652e-02,5.090419117833940021e-02,5.835860463649580193e-02,2.913646178399740931e-03,3.151304106149840391e-03,3.379532498184227574e-03,3.361566995590431570e-03,1.323265852521611800e-03,1.417336649960611750e-03,1.488441174167367664e-03,1.451112951423069513e-03,1.049962054049920993e-03,1.117714750194212644e-03,1.157149101641160227e-03,1.113893478328761497e-03
4.020000000000000240e-01,1.212232273500544744e-01,1.206292279249673860e-01,1.188162684374682865e-01,1.164952983668036124e-01,1.088238830763126053e-01,1.062663174485075079e-01,1.009433423252444756e-01,9.571064874018442303e-02,1.011469532375356417e-01,9.723168170503485030e-02,8.976434175274863869e-02,8.302871384682279643e-02,1.250021123697948044e-01,1.558080833513084129e-01,2.102339859060540772e-01,2.547142574402796456e-01,5.007754395396567942e-02,6.121302333082708630e-02,7.973506548356755486e-02,9.372858674550621494e-02,3.340180145451284582e-02,4.016090561199789355e-02,5.078076625187097348e-02,5.819197856670142721e-02,2.905099302836220473e-03,3.142239547557585007e-03,3.370700347907040761e-03,3.353829303876893712e-03,1.324739067065084513e-03,1.419050139281692775e-03,1.490632732068094927e-03,1.453676900891400425e-03,1.055904879962470816e-03,1.124137300841785824e-03,1.164036586270512843e-03,1.120786851202898232e-03
4.030000000000000249e-01,1.224034777866970791e-01,1.217851146511991223e-01,1.199181132421061891e-01,1.175407714368308931e-01,1.099078402694821099e-01,1.072896074993478360e-01,1.018533788083574726e-01,9.652125525738944334e-02,1.021168736690226259e-01,9.812062003243744723e-02,9.051353999335573497e-02,8.366537739399307338e-02,1.248823946303606880e-01,1.556383537071756029e-01,2.099568175023854566e-01,2.543329590423833442e-01,5.008703200121694676e-02,6.120763577614592166e-02,7.968783713969947169e-02,9.363268343305813923e-02,3.347759394498837915e-02,4.023570576023767498e-02,5.083768484503878998e-02,5.822000193376682814e-02,2.897894283679489438e-03,3.133656152363919513e-03,3.361265980929815239e-03,3.344917547427587404e-03,1.327642993341987413e-03,1.421926799795047471e-03,1.493609553726420311e-03,1.456777192120857446e-03,1.063722187159484110e-03,1.132316761305312593e-03,1.172445700848979803e-03,1.128982625586831198e-03
4.040000000000000258e-01,1.237589330922819753e-01,1.231122241845640786e-01,1.211828066226237899e-01,1.187406290714322354e-01,1.111430529764144415e-01,1.084550320725406192e-01,1.028889514167853486e-01,9.744311003475839006e-02,1.032188197451633371e-01,9.912973035914160458e-02,9.136294713108703003e-02,8.438648845499295559e-02,1.242287784523762040e-01,1.548152261678120700e-01,2.088264423750938736e-01,2.529510817777049225e-01,4.990746074353194506e-02,6.097285866432872181e-02,7.934531284612493518e-02,9.319449617592959201e-02,3.345428975901407892e-02,4.019079742805897748e-02,5.074166830055923394e-02,5.807205616430259620e-02,2.889823315872169698e-03,3.124994293452724656e-03,3.352628218203985121e-03,3.337139340610589897e-03,1.330997898303442912e-03,1.425601740855964332e-03,1.497723408149829972e-03,1.461099179550392558e-03,1.072589896035173454e-03,1.141789306485251933e-03,1.182341297616395018e-03,1.138659071799255976e-03
4.050000000000000266e-01,1.252856245887024877e-01,1.246064075508193647e-01,1.226054667909226015e-01,1.200891859013497043e-01,1.125243067620208537e-01,1.097572003668129681e-01,1.040441410371199527e-01,9.846987961998213135e-02,1.044473644154239461e-01,1.002535338045969227e-01,9.230687529324706209e-02,8.518628646564049833e-02,1.238893153138289904e-01,1.543709336461906445e-01,2.081766803255901133e-01,2.521174265381125323e-01,4.985317859618034614e-02,6.088587292156122377e-02,7.918299423296262796e-02,9.295494466004153300e-02,3.351451300486017748e-02,4.024240340257297793e-02,5.075906465621631003e-02,5.804527059096196290e-02,2.882690282696973288e-03,3.116753685997587179e-03,3.343745438291564898e-03,3.328742250880557200e-03,1.335553427100574699e-03,1.430335889041996081e-03,1.502673448043474877e-03,1.466084361982241584e-03,1.083077092611181092e-03,1.152832691888571945e-03,1.193664745584875186e-03,1.149598127228446467e-03
4.060000000000000275e-01,1.269599974463485048e-01,1.262444943854253709e-01,1.241641651029514182e-01,1.215659424036515390e-01,1.140311797025301971e-01,1.111766972053795516e-01,1.053017507695664934e-01,9.958644861432273954e-02,1.057841919482997856e-01,1.014750832452652046e-01,9.333104704857216050e-02,8.605276499581940297e-02,1.232343547707502457e-01,1.535397801078935698e-01,2.070198659558761256e-01,2.506869438149936791e-01,4.969087192936054442e-02,6.066729670417110587e-02,7.885003771796722516e-02,9.251633937664353879e-02,3.352201815598480905e-02,4.022966271049276121e-02,5.069279669236508024e-02,5.792090634800492466e-02,2.875145904855240606e-03,3.108577300476416706e-03,3.335443520459354869e-03,3.321109592747420198e-03,1.340695008297504865e-03,1.435883340785343732e-03,1.508645138853574120e-03,1.472122035222397669e-03,1.094651295808044380e-03,1.165129263294861382e-03,1.206356284057089273e-03,1.161871478556117561e-03
4.069999999999999729e-01,1.287745380512138604e-01,1.280188933890142045e-01,1.258509409022610381e-01,1.231625450916638831e-01,1.156557617519325398e-01,1.127056678809476159e-01,1.066539334569649999e-01,1.007850363767602980e-01,1.072216314721773922e-01,1.027869360934778042e-01,9.442837791896027677e-02,8.697922432601139231e-02,1.228036446788695474e-01,1.529788843938647835e-01,2.062054630086617990e-01,2.496464798489713977e-01,4.962010668310402189e-02,6.055657854614428237e-02,7.864831212854342390e-02,9.222212523844115772e-02,3.359233338722288770e-02,4.028931674070693886e-02,5.071123595377877158e-02,5.788675666450228408e-02,2.868377177724422931e-03,3.100815922888632958e-03,3.327085492658016404e-03,3.313149406423067551e-03,1.346909255219019396e-03,1.442417356731235572e-03,1.515451831272447702e-03,1.478860617245502567e-03,1.107671573712273611e-03,1.178850122610941315e-03,1.220370502342562865e-03,1.175331458258727134e-03
4.079999999999999738e-01,1.307083630747865877e-01,1.299090587915428807e-01,1.276462868570751863e-01,1.248606754419288312e-01,1.173798194020421876e-01,1.143267747004558521e-01,1.080852858769839331e-01,1.020520439691843806e-01,1.087433189836764097e-01,1.041739554879068663e-01,9.558609010957977437e-02,8.795488346834472171e-02,1.221521483965241905e-01,1.521471465421344871e-01,2.050357303109887619e-01,2.481872856848969244e-01,4.947624798097317866e-02,6.035672570875833670e-02,7.833077718032219194e-02,9.179260055457824641e-02,3.362931642725518200e-02,4.030799348868160936e-02,5.067580019133235969e-02,5.778930863580734878e-02,2.861403453781660462e-03,3.093198439147495406e-03,3.319248958948167304e-03,3.305844292954166191e-03,1.353733767536602827e-03,1.449737640533162956e-03,1.523201285193893743e-03,1.486556045078957916e-03,1.121724304046056069e-03,1.193733449307694122e-03,1.235629720547110066e-03,1.189997009521683285e-03
4.089999999999999747e-01,1.327525210965275482e-01,1.319060330754163735e-01,1.295410866914266657e-01,1.266510547326111236e-01,1.191944876041512863e-01,1.160313434071338912e-01,1.095874284867582316e-01,1.033794025720598392e-01,1.103408959874167539e-01,1.056281645329197327e-01,9.679685101391510837e-02,8.897300809571447033e-02,1.216754286253695916e-01,1.515262162727457063e-01,2.041334975975490629e-01,2.470332348963708013e-01,4.940506397596942934e-02,6.024259933056352184e-02,7.811780871532639225e-02,9.147846368335886547e-02,3.371697800830397718e-02,4.038507504050820041e-02,5.070875629957927871e-02,5.776485492288600809e-02,2.855118180143046119e-03,3.086000144183340815e-03,3.311479760497370358e-03,3.298403411680278507e-03,1.361527658896453854e-03,1.457971405121851393e-03,1.531754765321068209e-03,1.494948191325683228e-03,1.137065818780646186e-03,1.209895520074096746e-03,1.252089346964342740e-03,1.205748287993611573e-03
