wavelength,a_Ci_2_Deff_12,a_Ci_2_Deff_24,a_Ci_2_Deff_48,a_Ci_2_Deff_60,a_Ci_5_Deff_12,a_Ci_5_Deff_24,a_Ci_5_Deff_48,a_Ci_5_Deff_60,a_Ci_8_Deff_12,a_Ci_8_Deff_24,a_Ci_8_Deff_48,a_Ci_8_Deff_60,b_Ci_2_Deff_12,b_Ci_2_Deff_24,b_Ci_2_Deff_48,b_Ci_2_Deff_60,b_Ci_5_Deff_12,b_Ci_5_Deff_24,b_Ci_5_Deff_48,b_Ci_5_Deff_60,b_Ci_8_Deff_12,b_Ci_8_Deff_24,b_Ci_8_Deff_48,b_Ci_8_Deff_60,bb_Ci_2_Deff_12,bb_Ci_2_Deff_24,bb_Ci_2_Deff_48,bb_Ci_2_Deff_60,bb_Ci_5_Deff_12,bb_Ci_5_Deff_24,bb_Ci_5_Deff_48,bb_Ci_5_Deff_60,bb_Ci_8_Deff_12,bb_Ci_8_Deff_24,bb_Ci_8_Deff_48,bb_Ci_8_Deff_60
4.000000000000000222e-01,4.762216556136254775e-02,2.787891354126988130e-02,1.782856869373200190e-02,1.619683998657736948e-02,2.287966135439272602e-02,1.217601009518829575e-02,7.398176075828577156e-03,6.662029783433071756e-03,1.484636241952865671e-02,7.678515124876418574e-03,4.609124802365228112e-03,4.142862508224244567e-03,8.734781640373938394e-02,3.877475639025353138e-02,2.139067015953167658e-02,1.895245412158960349e-02,2.951794256083058177e-02,1.413350319970247890e-02,8.197101297059949596e-03,7.330801838859328859e-03,1.738893857006577892e-02,8.643269197824432482e-03,5.106203870600856294e-03,4.579955924115751073e-03,2.111740819845550035e-04,8.473330198069938814e-05,4.395980545011264325e-05,3.850109694662344110e-05,9.189358280434414144e-05,4.023628048933085733e-05,2.254875239727338582e-05,2.006571983257512007e-05,7.995655179196492176e-05,3.667871249452299946e-05,2.110196472454172424e-05,1.886168349884432608e-05
4.010000000000000231e-01,4.767049301982928533e-02,2.789437884241952742e-02,1.783355043422844496e-02,1.620054824988683556e-02,2.289024614941109065e-02,1.217796671861876186e-02,7.398313418361170471e-03,6.661999640802742512e-03,1.484877696804278238e-02,7.678151483582543180e-03,4.608497048926181276e-03,4.142241357950036430e-03,8.728988492508191199e-02,3.875356503516968337e-02,2.138440994910030188e-02,1.894796095267151786e-02,2.951166966254204632e-02,1.413094036095473467e-02,8.196765559474343543e-03,7.330712532411669952e-03,1.739327742505797705e-02,8.644432291631153759e-03,5.107033197836097736e-03,4.580737422675639804e-03,2.110124517144055232e-04,8.470806024210507617e-05,4.397090356847493866e-05,3.851568960131830253e-05,9.224366666351070903e-05,4.040374059982711701e-05,2.264854419573965669e-05,2.015550409843838256e-05,8.054068151637142460e-05,3.695429344479036381e-05,2.126303141219874568e-05,1.900603468445690296e-05
4.020000000000000240e-01,4.772224372923117297e-02,2.791090992858041853e-02,1.783885867556733729e-02,1.620449482768393859e-02,2.290150335796352007e-02,1.218004066794161309e-02,7.398457298809613114e-03,6.661966374916218799e-03,1.485135364261654101e-02,7.677775478168957085e-03,4.607839280103117642e-03,4.141590305928754233e-03,8.722815554459914522e-02,3.873850104237637482e-02,2.138013197470185756e-02,1.894489004500198373e-02,2.948847081145164126e-02,1.412727880559992537e-02,8.196455685020238510e-03,7.330682894701355361e-03,1.738407121483191708e-02,8.643822408569486193e-03,5.107594035227826755e-03,4.581359331787168178e-03,2.111231272162652638e-04,8.475553318638222289e-05,4.400348361458725200e-05,3.854613234773978910e-05,9.266080857142651288e-05,4.058978848195067736e-05,2.275566273156889115e-05,2.025135948135985736e-05,8.117507119487691973e-05,3.724714427376887334e-05,2.143268556849029058e-05,1.915788524008194517e-05
4.030000000000000249e-01,4.777591429161155701e-02,2.792803804394033973e-02,1.784435034635496742e-02,1.620857520448526837e-02,2.291303415243742259e-02,1.218214929476205653e-02,7.398594347577858513e-03,6.661923182410018664e-03,1.485396904325723272e-02,7.677376636618849295e-03,4.607158660720243361e-03,4.140917588710723435e-03,8.716375933612489912e-02,3.872028210324590658e-02,2.137485818417018263e-02,1.894109975060553550e-02,2.946999795902190133e-02,1.412382182469353563e-02,8.196119281913133436e-03,7.330628087567277705e-03,1.737912462872075875e-02,8.643797392246943198e-03,5.108269879744412219e-03,4.582061088239105379e-03,2.111859643004591089e-04,8.478710007024989727e-05,4.403114138352771424e-05,3.857305932086556674e-05,9.308063997780340060e-05,4.077994355401934459e-05,2.286575806261682486e-05,2.034995683244937394e-05,8.182612984409158650e-05,3.754873115492528046e-05,2.160755225227112638e-05,1.931441684575605495e-05
4.040000000000000258e-01,4.783002878119228807e-02,2.794528240737276237e-02,1.784987060659217958e-02,1.621267470703012872e-02,2.292461072657259527e-02,1.218425135978239669e-02,7.398721722081563409e-03,6.661870669524605319e-03,1.485658282279155376e-02,7.676962977776655497e-03,4.606466895037629981e-03,4.140234623725555160e-03,8.709861642632547862e-02,3.870428833163479243e-02,2.137031212489376789e-02,1.893783506997316970e-02,2.944614157426275400e-02,1.412004740003708521e-02,8.195803299142510878e-03,7.330601431948952258e-03,1.736982867684793222e-02,8.643206974862130756e-03,5.108860223628144438e-03,4.582711886145852606e-03,2.113594119777616317e-04,8.484992986350711622e-05,4.406830615731061605e-05,3.860703245196651364e-05,9.353209468177413799e-05,4.097929878314910947e-05,2.297919790740543091e-05,2.045124581109551928e-05,8.249900900002805578e-05,3.785806042925021569e-05,2.178595721269829786e-05,1.947396897412347424e-05
4.050000000000000266e-01,4.788322804885350448e-02,2.796221410391492440e-02,1.785528602469400872e-02,1.621669545260541120e-02,2.293593029006023992e-02,1.218628807156142170e-02,7.398832259794605251e-03,6.661806448092020237e-03,1.485912225636858153e-02,7.676535713703046271e-03,4.605774066592974170e-03,4.139551709966292348e-03,8.703440197976158865e-02,3.868716464536935823e-02,2.136540640426880244e-02,1.893431433146286827e-02,2.942586709454650395e-02,1.411655784621023042e-02,8.195504154938864846e-03,7.330579834329809495e-03,1.736334145511572030e-02,8.643005344414603219e-03,5.109516807483310830e-03,4.583404583445834304e-03,2.114611786312464053e-04,8.489646392455279427e-05,4.410135691623451304e-05,3.863810105619197056e-05,9.397424742149184209e-05,4.117830067395391273e-05,2.309287096453193640e-05,2.055276113661567481e-05,8.316558445093816070e-05,3.816742538488312970e-05,2.196466951293033726e-05,1.963380302897666492e-05
4.060000000000000275e-01,4.793416738902185614e-02,2.797841583909783936e-02,1.786046527499324590e-02,1.622054065256814046e-02,2.294679843894086718e-02,1.218823135200227011e-02,7.398927382019439974e-03,6.661734292107372030e-03,1.486156920089739750e-02,7.676110597249156259e-03,4.605094272704485410e-03,4.138882031458488570e-03,8.697274903081587960e-02,3.867229125481909391e-02,2.136122251062542651e-02,1.893131909656530290e-02,2.940315619266968550e-02,1.411303833003366669e-02,8.195245867303187909e-03,7.330591258262089682e-03,1.735451426018683532e-02,8.642493487894222642e-03,5.110112508896760657e-03,4.584054515146636019e-03,2.115057048915964697e-04,8.492107776255175089e-05,4.412854207803763092e-05,3.866508141293590543e-05,9.439466157390987648e-05,4.137025626221729622e-05,2.320393477830185759e-05,2.065216765785994778e-05,8.380603496915409515e-05,3.846885321970070724e-05,2.214006708751985349e-05,1.979085261979991237e-05
4.069999999999999729e-01,4.798127180263307701e-02,2.799339600623283741e-02,1.786525954694898749e-02,1.622410200544218209e-02,2.295691373171404939e-02,1.219002704143514783e-02,7.399002369707419202e-03,6.661653800187699107e-03,1.486384878080356658e-02,7.675690808298446174e-03,4.604438698491694799e-03,4.138236786672360931e-03,8.691583845103766082e-02,3.865780142047220425e-02,2.135714153710156077e-02,1.892840450358089857e-02,2.938402926348631164e-02,1.410992896598219255e-02,8.195035266157788337e-03,7.330626040545277014e-03,1.734802394271085096e-02,8.642298164722389889e-03,5.110744403599833639e-03,4.584719781070415931e-03,2.115510751133715039e-04,8.493320297484779381e-05,4.414880149321065889e-05,3.868635603865677015e-05,9.477371149219698180e-05,4.154642779291986088e-05,2.330846407182519592e-05,2.074623663144735801e-05,8.439706378884151699e-05,3.875330990929013830e-05,2.230806002446998360e-05,1.994167545420767650e-05
4.079999999999999738e-01,4.802315222369715753e-02,2.800670403444888157e-02,1.786952654403894600e-02,1.622727482537251326e-02,2.296599453519551290e-02,1.219161453629445495e-02,7.399048423803393504e-03,6.661561287753303695e-03,1.486588314556400864e-02,7.675273379357652748e-03,4.603816001919681586e-03,4.137625252495110567e-03,8.686508460023989464e-02,3.864624033080821253e-02,2.135398155553099378e-02,1.892616244362837347e-02,2.936428998637540325e-02,1.410703845216080242e-02,8.194898350913549026e-03,7.330710012979609405e-03,1.734024778527207267e-02,8.641930181268339672e-03,5.111321948421745920e-03,4.585339225631897622e-03,2.118876225647512834e-04,8.503578941754972264e-05,4.419534432155163055e-05,3.872646720414168846e-05,9.517263964000810420e-05,4.172657257538876075e-05,2.341186459701840989e-05,2.083866490800575244e-05,8.495647404981408323e-05,3.902463463498175093e-05,2.246843704161901581e-05,2.008565107060702573e-05
4.089999999999999747e-01,4.805881726550152722e-02,2.801804208676338115e-02,1.787317514513345543e-02,1.622999257708919799e-02,2.297380317119573565e-02,1.219295775506010898e-02,7.399065940679331113e-03,6.661460049779912955e-03,1.486758323293017880e-02,7.674856846454265052e-03,4.603236012035025020e-03,4.137057660784732027e-03,8.682198956587362793e-02,3.863614871166538844e-02,2.135126153237626098e-02,1.892424766744765438e-02,2.934849332534070557e-02,1.410470775833553431e-02,8.194840900536196071e-03,7.330835649819198406e-03,1.733469909223608191e-02,8.641864190404878465e-03,5.111917332133707366e-03,4.585955236932596005e-03,2.123305298354047929e-04,8.516554197411939408e-05,4.424735752234264848e-05,3.876988082421807573e-05,9.558054426216689998e-05,4.190563895532237382e-05,2.351146346681868735e-05,2.092715155866198078e-05,8.548898063355269198e-05,3.928226475720551975e-05,2.261953726567357838e-05,2.022107645794921294e-05
