wavelength,a_Ci_2_Deff_0_4,a_Ci_2_Deff_0_8,a_Ci_2_Deff_1_2,a_Ci_2_Deff_1_8,a_Ci_5_Deff_0_4,a_Ci_5_Deff_0_8,a_Ci_5_Deff_1_2,a_Ci_5_Deff_1_8,a_Ci_8_Deff_0_4,a_Ci_8_Deff_0_8,a_Ci_8_Deff_1_2,a_Ci_8_Deff_1_8,b_Ci_2_Deff_0_4,b_Ci_2_Deff_0_8,b_Ci_2_Deff_1_2,b_Ci_2_Deff_1_8,b_Ci_5_Deff_0_4,b_Ci_5_Deff_0_8,b_Ci_5_Deff_1_2,b_Ci_5_Deff_1_8,b_Ci_8_Deff_0_4,b_Ci_8_Deff_0_8,b_Ci_8_Deff_1_2,b_Ci_8_Deff_1_8,bb_Ci_2_Deff_0_4,bb_Ci_2_Deff_0_8,bb_Ci_2_Deff_1_2,bb_Ci_2_Deff_1_8,bb_Ci_5_Deff_0_4,bb_Ci_5_Deff_0_8,bb_Ci_5_Deff_1_2,bb_Ci_5_Deff_1_8,bb_Ci_8_Deff_0_4,bb_Ci_8_Deff_0_8,bb_Ci_8_Deff_1_2,bb_Ci_8_Deff_1_8
4.000000000000000222e-01,1.477321480130932840e-01,1.415405735226241690e-01,1.337306231791838274e-01,1.223155813020409544e-01,1.315489194116617744e-01,1.158828037205577866e-01,1.022511204565997173e-01,8.651793965985297985e-02,1.209241556485476932e-01,9.992370183106931425e-02,8.416113044119623299e-02,6.780543245919555539e-02,1.239566405337602373e-01,2.287838795188423258e-01,2.946710755574236118e-01,3.382968489011574653e-01,5.098899388809403216e-02,8.658615790680915247e-02,1.049172191886243305e-01,1.132937454320809140e-01,3.554874711406458276e-02,5.627777547944036451e-02,6.482148427828120230e-02,6.659479104707861918e-02,2.944583509596849277e-03,3.401318016228824237e-03,3.070876500923972168e-03,2.345260906200053418e-03,1.458220887599452793e-03,1.611236831485356744e-03,1.402541766570104256e-03,1.032825605710297693e-03,1.261115827100330869e-03,1.349237786682417652e-03,1.149280980748564312e-03,8.332957009339255492e-04
4.010000000000000231e-01,1.475168895464465391e-01,1.413467031422818709e-01,1.335573180601456467e-01,1.221691187636675946e-01,1.314181631336942824e-01,1.157833996829871481e-01,1.021733101570534291e-01,8.646110712794816133e-02,1.208250532248553444e-01,9.985846588490412956e-02,8.411502383987827514e-02,6.777516307170450283e-02,1.249421265805296527e-01,2.305011359905225210e-01,2.967542515349314569e-01,3.403958425369028595e-01,5.134158055568551621e-02,8.717917403055322478e-02,1.056147402944124652e-01,1.139774981524772912e-01,3.574113008942936959e-02,5.659320698249608456e-02,6.518304987545102402e-02,6.694021761944299320e-02,2.938593914573760669e-03,3.391093402678510300e-03,3.063440104456066366e-03,2.341578892149615877e-03,1.456172778232236184e-03,1.608404338702446208e-03,1.400973520925218561e-03,1.032484961984491811e-03,1.260117782008642138e-03,1.348331349011156486e-03,1.149290754025710220e-03,8.339161558595193854e-04
4.020000000000000240e-01,1.478925410718795463e-01,1.416798573791113458e-01,1.338501874767730193e-01,1.224135685076648272e-01,1.317903214677116353e-01,1.160665257042160087e-01,1.023929225555891553e-01,8.661861642618781665e-02,1.211589398750053947e-01,1.000846300451292414e-01,8.427539632254185675e-02,6.787858361779645910e-02,1.243299487252782914e-01,2.294412480084673522e-01,2.954897189390019441e-01,3.391386726025757414e-01,5.114607117496537680e-02,8.685139246972507776e-02,1.052273264106700634e-01,1.135885648404926784e-01,3.565990906139310246e-02,5.645493823266115041e-02,6.501760981564008723e-02,6.677243116681107205e-02,2.930295781929569566e-03,3.384072315596134417e-03,3.059623162798329101e-03,2.340418362076933899e-03,1.456037522027031064e-03,1.609616205850485657e-03,1.403150117456856234e-03,1.034891301376974831e-03,1.263039962596533171e-03,1.352545499677118828e-03,1.153733665095342618e-03,8.377637892734992545e-04
4.030000000000000249e-01,1.488013738536666519e-01,1.424848347461986076e-01,1.345560398503463095e-01,1.229998082815194627e-01,1.326130681633580499e-01,1.166885137915945198e-01,1.028726039291802258e-01,8.696080504726430571e-02,1.218795659972667228e-01,1.005678104575557508e-01,8.461535838240878682e-02,6.809650090260788158e-02,1.242317443711125763e-01,2.291927339498565086e-01,2.951180656746560382e-01,3.386568143236184936e-01,5.116867692462844647e-02,8.683070059865648227e-02,1.051484377783583474e-01,1.134427038223875528e-01,3.573965150935611013e-02,5.652324126773777130e-02,6.504648652156587441e-02,6.675019301807222361e-02,2.923875999856662567e-03,3.376423835440937708e-03,3.054316896562491845e-03,2.337564161802582925e-03,1.459424155262248552e-03,1.613553069807529758e-03,1.407298197208224980e-03,1.038556196230796310e-03,1.270986786646815820e-03,1.361210195158618717e-03,1.161644974202341715e-03,8.440049347586560911e-04
4.040000000000000258e-01,1.501367049780737151e-01,1.436676924670969857e-01,1.355938517683547007e-01,1.238620587460275146e-01,1.337960467167182421e-01,1.175814197951415702e-01,1.035607722918979734e-01,8.745149358461021261e-02,1.229086676896358477e-01,1.012557246309553349e-01,8.509861177553409983e-02,6.840591458775223399e-02,1.236033701613357405e-01,2.279974249663910824e-01,2.935790281430717408e-01,3.369676541309716278e-01,5.102411041177083023e-02,8.651095383529862348e-02,1.047010194914618775e-01,1.129138465283798520e-01,3.575348823759974537e-02,5.646314444778149921e-02,6.491206093629658946e-02,6.655569104708898565e-02,2.917068160559388359e-03,3.370058332754160158e-03,3.050210360627287395e-03,2.335362943026240978e-03,1.464857231553690683e-03,1.620249455002482995e-03,1.413829679640939575e-03,1.043915055145938024e-03,1.282360889111453482e-03,1.373663549908863248e-03,1.172724066575117153e-03,8.525196305800284476e-04
4.050000000000000266e-01,1.518222361374648721e-01,1.451581579088797869e-01,1.368992570574867895e-01,1.249440920051351211e-01,1.352721352411294653e-01,1.186916401117857067e-01,1.044138928851004455e-01,8.805779544798479630e-02,1.241872014657190160e-01,1.021063310827716730e-01,8.569392178293243345e-02,6.878557166668168577e-02,1.232838173351376715e-01,2.272879777122306100e-01,2.925724337335655068e-01,3.357372784223618956e-01,5.101416683911770555e-02,8.637992634735314201e-02,1.044425741315213596e-01,1.125335153976847608e-01,3.586930201879367369e-02,5.653306352295781739e-02,6.489958595442783806e-02,6.645273164595109916e-02,2.911573105178046159e-03,3.363513915805347188e-03,3.045368142980482608e-03,2.332268911629966582e-03,1.472770490619734274e-03,1.628973885356027563e-03,1.421876241898800772e-03,1.050269122629018210e-03,1.297241134083521171e-03,1.389279865991627574e-03,1.186297092258653194e-03,8.627734250576934169e-04
4.060000000000000275e-01,1.537594988746549818e-01,1.468689204144220939e-01,1.383961894834192519e-01,1.261833611358241791e-01,1.369574557918500357e-01,1.199555641050552984e-01,1.053831527001578422e-01,8.874504785136143326e-02,1.256423967351752435e-01,1.030706191889822626e-01,8.636692639983137298e-02,6.921346396172109450e-02,1.226530569276119975e-01,2.260242604750196949e-01,2.908833857410411117e-01,3.338017015051147340e-01,5.090871935314248559e-02,8.607863676789757890e-02,1.039750143297263202e-01,1.119369383803161117e-01,3.594961391770928189e-02,5.653262062044724090e-02,6.479740347774373688e-02,6.625554303697861469e-02,2.905966474685209387e-03,3.357909927384713361e-03,3.041425778115213266e-03,2.329748662331050223e-03,1.482088427933265324e-03,1.639559161181207772e-03,1.431538655766122822e-03,1.057784848551396447e-03,1.314381695176871463e-03,1.407378556411817807e-03,1.201955746902399515e-03,8.745369182136817146e-04
4.069999999999999729e-01,1.558698758283661445e-01,1.487286322206451128e-01,1.400203138138456649e-01,1.275246865041816946e-01,1.387839039460603829e-01,1.213200464831167141e-01,1.064262661428564544e-01,8.948200564848639293e-02,1.272149355378737190e-01,1.041075018031431404e-01,8.708780566516688415e-02,6.966979248742966035e-02,1.222452232404150491e-01,2.251216542343466298e-01,2.896018604247391770e-01,3.322357143418001590e-01,5.089762788732514476e-02,8.591572573739346408e-02,1.036529233732236405e-01,1.114647090323905160e-01,3.609766967624179063e-02,5.662234911794138126e-02,6.478409029773940508e-02,6.613078799601376789e-02,2.901321198515205251e-03,3.352306017395447705e-03,3.037160643264743675e-03,2.326842394335281849e-03,1.492930426126844266e-03,1.651374078694387753e-03,1.442129521879751981e-03,1.065925609870216513e-03,1.333582116473134562e-03,1.427307540938650915e-03,1.219062820236692076e-03,8.873220502813912057e-04
4.079999999999999738e-01,1.580603073492013455e-01,1.506553763930934819e-01,1.417006007786487110e-01,1.289100053731060957e-01,1.406729248779093333e-01,1.227264278726781788e-01,1.074986876852153522e-01,9.023743059606825767e-02,1.288373425321000798e-01,1.051724735866643168e-01,8.782580137776618834e-02,7.013519054815915699e-02,1.216220411538663088e-01,2.238472700318792918e-01,2.878740148438274637e-01,3.302237022062886607e-01,5.081680466733200230e-02,8.563722696237546783e-02,1.031963773589580219e-01,1.108620014804106435e-01,3.621376432126632156e-02,5.665881753265929882e-02,6.470957462664175819e-02,6.594796538416060339e-02,2.896546511638247671e-03,3.347438342984217306e-03,3.033703548598027256e-03,2.324580970828221769e-03,1.504345320747157164e-03,1.664111312678201058e-03,1.453568324048321080e-03,1.074704927520301560e-03,1.353692129062453306e-03,1.448325174903205073e-03,1.237119575535915866e-03,9.008189872945812204e-04
4.089999999999999747e-01,1.602529232788267033e-01,1.525797612247990209e-01,1.433755290219070888e-01,1.302876129696610152e-01,1.425584421971642923e-01,1.241247382077263622e-01,1.085616302506002551e-01,9.098344523126244976e-02,1.304530240298189536e-01,1.062278341269165260e-01,8.855434526230214487e-02,7.059258118696162820e-02,1.211744867892711464e-01,2.228728431682817368e-01,2.865019058687198195e-01,3.285604020615809362e-01,5.080292718083959103e-02,8.546623924608055811e-02,1.028625638520238861e-01,1.103770405010805200e-01,3.637009819993250459e-02,5.675541351188443523e-02,6.470076370071449479e-02,6.582620295446081626e-02,2.892390148793189467e-03,3.342566567227245149e-03,3.030113969694893470e-03,2.322223374274085678e-03,1.516262331447692851e-03,1.677139148411223215e-03,1.465210095486647662e-03,1.083628170741440626e-03,1.374332039540924815e-03,1.469721204762134336e-03,1.255467664908262474e-03,9.145318324386496984e-04
